ds,y,ds,y
07/03/2023 21:05,23.52228165,07/03/2023 21:05,23.54879361
07/03/2023 21:10,23.52228165,07/03/2023 21:10,23.54577447
07/03/2023 21:15,23.52228165,07/03/2023 21:15,23.54307369
07/03/2023 21:20,23.52228165,07/03/2023 21:20,23.5406615
07/03/2023 21:25,23.52228165,07/03/2023 21:25,23.53850773
07/03/2023 21:30,23.52228165,07/03/2023 21:30,23.53658196
07/03/2023 21:35,23.52228165,07/03/2023 21:35,23.53485379
07/03/2023 21:40,23.52228165,07/03/2023 21:40,23.53329299
07/03/2023 21:45,23.52228165,07/03/2023 21:45,23.53186979
07/03/2023 21:50,23.52228165,07/03/2023 21:50,23.53055499
07/03/2023 21:55,23.52228165,07/03/2023 21:55,23.52932023
07/03/2023 22:00,23.52228165,07/03/2023 22:00,23.5281381
07/03/2023 22:05,23.52228165,07/03/2023 22:05,23.52698236
07/03/2023 22:10,23.52228165,07/03/2023 22:10,23.52582808
07/03/2023 22:15,23.52228165,07/03/2023 22:15,23.52465175
07/03/2023 22:20,23.52228165,07/03/2023 22:20,23.52343145
07/03/2023 22:25,23.52228165,07/03/2023 22:25,23.52214694
07/03/2023 22:30,23.52228165,07/03/2023 22:30,23.52077975
07/03/2023 22:35,23.52228165,07/03/2023 22:35,23.51931327
07/03/2023 22:40,23.52228165,07/03/2023 22:40,23.51773278
07/03/2023 22:45,23.52228165,07/03/2023 22:45,23.51602552
07/03/2023 22:50,23.52228165,07/03/2023 22:50,23.51418071
07/03/2023 22:55,23.52228165,07/03/2023 22:55,23.51218954
07/03/2023 23:00,23.52228165,07/03/2023 23:00,23.51004517
07/03/2023 23:05,23.52228165,07/03/2023 23:05,23.50774268
07/03/2023 23:10,23.52228165,07/03/2023 23:10,23.50527906
07/03/2023 23:15,23.52228165,07/03/2023 23:15,23.5026531
07/03/2023 23:20,23.52228165,07/03/2023 23:20,23.49986535
07/03/2023 23:25,23.52228165,07/03/2023 23:25,23.49691799
07/03/2023 23:30,23.52228165,07/03/2023 23:30,23.49381478
07/03/2023 23:35,23.52228165,07/03/2023 23:35,23.49056085
07/03/2023 23:40,23.52228165,07/03/2023 23:40,23.48716265
07/03/2023 23:45,23.52228165,07/03/2023 23:45,23.48362777
07/03/2023 23:50,23.52228165,07/03/2023 23:50,23.47996478
07/03/2023 23:55,23.52228165,07/03/2023 23:55,23.47618308
08/03/2023 0:00,23.52228165,08/03/2023 0:00,23.47229277
08/03/2023 0:05,23.52228165,08/03/2023 0:05,23.4683044
08/03/2023 0:10,23.52228165,08/03/2023 0:10,23.46422888
08/03/2023 0:15,23.52228165,08/03/2023 0:15,23.46007725
08/03/2023 0:20,23.52228165,08/03/2023 0:20,23.45586053
08/03/2023 0:25,23.52228165,08/03/2023 0:25,23.45158954
08/03/2023 0:30,23.37351608,08/03/2023 0:30,23.44727476
08/03/2023 0:35,23.37351608,08/03/2023 0:35,23.44292609
08/03/2023 0:40,23.37351608,08/03/2023 0:40,23.43855279
08/03/2023 0:45,23.37351608,08/03/2023 0:45,23.43416326
08/03/2023 0:50,23.37351608,08/03/2023 0:50,23.42976493
08/03/2023 0:55,23.37351608,08/03/2023 0:55,23.42536413
08/03/2023 1:00,23.37351608,08/03/2023 1:00,23.42096595
08/03/2023 1:05,23.37351608,08/03/2023 1:05,23.41657418
08/03/2023 1:10,23.37351608,08/03/2023 1:10,23.41219118
08/03/2023 1:15,23.37351608,08/03/2023 1:15,23.4078178
08/03/2023 1:20,23.37351608,08/03/2023 1:20,23.40345337
08/03/2023 1:25,23.37351608,08/03/2023 1:25,23.3990956
