,ts,temp,new_point
357,2023-03-09T02:50:00+04:00 Dubai,23.824047088623047°C,35.34%
358,2023-03-09T02:55:00+04:00 Dubai,23.824047088623047°C,35.34%
359,2023-03-09T03:00:00+04:00 Dubai,23.824047088623047°C,35.34%
360,2023-03-09T03:05:00+04:00 Dubai,23.824047088623047°C,35.34%
361,2023-03-09T03:10:00+04:00 Dubai,23.824047088623047°C,35.34%
362,2023-03-09T03:15:00+04:00 Dubai,23.824047088623047°C,35.34%
363,2023-03-09T03:20:00+04:00 Dubai,23.824047088623047°C,35.34%
364,2023-03-09T03:25:00+04:00 Dubai,23.824047088623047°C,35.34%
365,2023-03-09T03:30:00+04:00 Dubai,23.824047088623047°C,35.34%
366,2023-03-09T03:35:00+04:00 Dubai,23.824047088623047°C,35.34%
367,2023-03-09T03:40:00+04:00 Dubai,23.824047088623047°C,35.34%
368,2023-03-09T03:45:00+04:00 Dubai,23.824047088623047°C,35.34%
369,2023-03-09T03:50:00+04:00 Dubai,23.824047088623047°C,35.34%
370,2023-03-09T03:55:00+04:00 Dubai,23.824047088623047°C,35.34%
371,2023-03-09T04:00:00+04:00 Dubai,23.824047088623047°C,35.34%
372,2023-03-09T04:05:00+04:00 Dubai,23.824047088623047°C,35.34%
373,2023-03-09T04:10:00+04:00 Dubai,23.824047088623047°C,35.34%
374,2023-03-09T04:15:00+04:00 Dubai,23.824047088623047°C,35.34%
375,2023-03-09T04:20:00+04:00 Dubai,23.824047088623047°C,35.34%
376,2023-03-09T04:25:00+04:00 Dubai,23.824047088623047°C,35.34%
377,2023-03-09T04:30:00+04:00 Dubai,23.824047088623047°C,35.34%
378,2023-03-09T04:35:00+04:00 Dubai,23.824047088623047°C,35.34%
379,2023-03-09T04:40:00+04:00 Dubai,23.67473793029785°C,35.34%
380,2023-03-09T04:45:00+04:00 Dubai,23.67473793029785°C,35.34%
381,2023-03-09T04:50:00+04:00 Dubai,23.67473793029785°C,35.34%
382,2023-03-09T04:55:00+04:00 Dubai,23.67473793029785°C,35.34%
383,2023-03-09T05:00:00+04:00 Dubai,23.67473793029785°C,35.34%
384,2023-03-09T05:05:00+04:00 Dubai,23.67473793029785°C,35.34%
385,2023-03-09T05:10:00+04:00 Dubai,23.67473793029785°C,35.34%
386,2023-03-09T05:15:00+04:00 Dubai,23.67473793029785°C,35.34%
387,2023-03-09T05:20:00+04:00 Dubai,23.82361602783203°C,35.34%
388,2023-03-09T05:25:00+04:00 Dubai,23.82361602783203°C,35.34%
389,2023-03-09T05:30:00+04:00 Dubai,23.82361602783203°C,35.34%
390,2023-03-09T05:35:00+04:00 Dubai,23.82361602783203°C,35.34%
391,2023-03-09T05:40:00+04:00 Dubai,23.82361602783203°C,35.34%
392,2023-03-09T05:45:00+04:00 Dubai,23.82361602783203°C,35.34%
393,2023-03-09T05:50:00+04:00 Dubai,23.82361602783203°C,35.34%
394,2023-03-09T05:55:00+04:00 Dubai,23.972549438476562°C,35.34%
395,2023-03-09T06:00:00+04:00 Dubai,23.972549438476562°C,35.34%
396,2023-03-09T06:05:00+04:00 Dubai,23.972549438476562°C,35.34%
397,2023-03-09T06:10:00+04:00 Dubai,23.972549438476562°C,35.34%
398,2023-03-09T06:15:00+04:00 Dubai,23.82345199584961°C,35.34%
399,2023-03-09T06:20:00+04:00 Dubai,23.82345199584961°C,35.34%
400,2023-03-09T06:25:00+04:00 Dubai,23.82345199584961°C,35.34%
401,2023-03-09T06:30:00+04:00 Dubai,23.82345199584961°C,35.34%
402,2023-03-09T06:35:00+04:00 Dubai,23.82345199584961°C,35.34%
403,2023-03-09T06:40:00+04:00 Dubai,23.82345199584961°C,35.34%
404,2023-03-09T06:45:00+04:00 Dubai,23.82345199584961°C,35.34%
405,2023-03-09T06:50:00+04:00 Dubai,23.67344856262207°C,35.34%
406,2023-03-09T06:55:00+04:00 Dubai,23.67344856262207°C,35.34%
407,2023-03-09T07:00:00+04:00 Dubai,23.67344856262207°C,35.34%
408,2023-03-09T07:05:00+04:00 Dubai,23.67344856262207°C,35.34%
409,2023-03-09T07:10:00+04:00 Dubai,23.67344856262207°C,35.34%
410,2023-03-09T07:15:00+04:00 Dubai,23.67344856262207°C,35.34%
411,2023-03-09T07:20:00+04:00 Dubai,23.67344856262207°C,35.34%
412,2023-03-09T07:25:00+04:00 Dubai,23.67344856262207°C,35.34%
413,2023-03-09T07:30:00+04:00 Dubai,23.67344856262207°C,35.34%
414,2023-03-09T07:35:00+04:00 Dubai,23.67344856262207°C,35.34%
415,2023-03-09T07:40:00+04:00 Dubai,23.67344856262207°C,35.34%
416,2023-03-09T07:45:00+04:00 Dubai,23.67344856262207°C,35.34%
417,2023-03-09T07:50:00+04:00 Dubai,23.67344856262207°C,35.34%
418,2023-03-09T07:55:00+04:00 Dubai,23.67344856262207°C,35.34%
419,2023-03-09T08:00:00+04:00 Dubai,23.67344856262207°C,35.34%
420,2023-03-09T08:05:00+04:00 Dubai,23.67344856262207°C,35.34%
421,2023-03-09T08:10:00+04:00 Dubai,23.67344856262207°C,35.34%
422,2023-03-09T08:15:00+04:00 Dubai,23.82286262512207°C,35.34%
423,2023-03-09T08:20:00+04:00 Dubai,23.82286262512207°C,35.34%
424,2023-03-09T08:25:00+04:00 Dubai,23.82286262512207°C,35.34%
425,2023-03-09T08:30:00+04:00 Dubai,23.82286262512207°C,35.34%
426,2023-03-09T08:35:00+04:00 Dubai,23.97266960144043°C,35.34%
427,2023-03-09T08:40:00+04:00 Dubai,23.97266960144043°C,35.34%
428,2023-03-09T08:45:00+04:00 Dubai,23.97266960144043°C,37.55%
429,2023-03-09T08:50:00+04:00 Dubai,23.97266960144043°C,38.77%
430,2023-03-09T08:55:00+04:00 Dubai,24.121627807617188°C,41.06%
431,2023-03-09T09:00:00+04:00 Dubai,24.121627807617188°C,38.93%
432,2023-03-09T09:05:00+04:00 Dubai,24.121627807617188°C,38.93%
433,2023-03-09T09:10:00+04:00 Dubai,24.121627807617188°C,38.93%
434,2023-03-09T09:15:00+04:00 Dubai,24.121627807617188°C,38.93%
435,2023-03-09T09:20:00+04:00 Dubai,24.121627807617188°C,38.93%
436,2023-03-09T09:25:00+04:00 Dubai,24.121627807617188°C,38.93%
437,2023-03-09T09:30:00+04:00 Dubai,24.121627807617188°C,38.93%
438,2023-03-09T09:35:00+04:00 Dubai,24.121627807617188°C,38.93%
439,2023-03-09T09:40:00+04:00 Dubai,24.121627807617188°C,38.93%
440,2023-03-09T09:45:00+04:00 Dubai,24.121627807617188°C,38.93%
441,2023-03-09T09:50:00+04:00 Dubai,24.270416259765625°C,38.93%
442,2023-03-09T09:55:00+04:00 Dubai,24.270416259765625°C,38.93%
443,2023-03-09T10:00:00+04:00 Dubai,24.270416259765625°C,38.93%
444,2023-03-09T10:05:00+04:00 Dubai,24.270416259765625°C,41.41%
445,2023-03-09T10:10:00+04:00 Dubai,24.270416259765625°C,42.60%
446,2023-03-09T10:15:00+04:00 Dubai,24.270416259765625°C,43.68%
447,2023-03-09T10:20:00+04:00 Dubai,24.270416259765625°C,44.75%
448,2023-03-09T10:25:00+04:00 Dubai,24.270416259765625°C,43.33%
449,2023-03-09T10:30:00+04:00 Dubai,24.270416259765625°C,43.33%
450,2023-03-09T10:35:00+04:00 Dubai,24.270416259765625°C,43.33%
451,2023-03-09T10:40:00+04:00 Dubai,24.270416259765625°C,43.33%
452,2023-03-09T10:45:00+04:00 Dubai,24.270416259765625°C,43.33%
453,2023-03-09T10:50:00+04:00 Dubai,24.270416259765625°C,43.33%
454,2023-03-09T10:55:00+04:00 Dubai,24.270416259765625°C,43.33%
455,2023-03-09T11:00:00+04:00 Dubai,24.270416259765625°C,43.33%
456,2023-03-09T11:05:00+04:00 Dubai,24.270416259765625°C,43.33%
457,2023-03-09T11:10:00+04:00 Dubai,24.270416259765625°C,43.33%
458,2023-03-09T11:15:00+04:00 Dubai,24.270416259765625°C,43.33%
459,2023-03-09T11:20:00+04:00 Dubai,24.270416259765625°C,43.33%
460,2023-03-09T11:25:00+04:00 Dubai,24.270416259765625°C,43.33%
461,2023-03-09T11:30:00+04:00 Dubai,24.418983459472656°C,43.33%
462,2023-03-09T11:35:00+04:00 Dubai,24.418983459472656°C,43.33%
463,2023-03-09T11:40:00+04:00 Dubai,24.418983459472656°C,43.33%
464,2023-03-09T11:45:00+04:00 Dubai,24.418983459472656°C,43.33%
465,2023-03-09T11:50:00+04:00 Dubai,24.418983459472656°C,43.33%
466,2023-03-09T11:55:00+04:00 Dubai,24.418983459472656°C,43.33%
467,2023-03-09T12:00:00+04:00 Dubai,24.418983459472656°C,43.33%
468,2023-03-09T12:05:00+04:00 Dubai,24.418983459472656°C,43.33%
469,2023-03-09T12:10:00+04:00 Dubai,24.418983459472656°C,43.33%
470,2023-03-09T12:15:00+04:00 Dubai,24.567575454711914°C,43.33%
471,2023-03-09T12:20:00+04:00 Dubai,24.567575454711914°C,43.33%
472,2023-03-09T12:25:00+04:00 Dubai,24.567575454711914°C,43.33%
473,2023-03-09T12:30:00+04:00 Dubai,24.567575454711914°C,43.33%
474,2023-03-09T12:35:00+04:00 Dubai,24.567575454711914°C,43.33%
475,2023-03-09T12:40:00+04:00 Dubai,24.567575454711914°C,43.33%
476,2023-03-09T12:45:00+04:00 Dubai,24.567575454711914°C,43.33%
477,2023-03-09T12:50:00+04:00 Dubai,24.567575454711914°C,43.33%
478,2023-03-09T12:55:00+04:00 Dubai,24.567575454711914°C,43.33%
479,2023-03-09T13:00:00+04:00 Dubai,24.567575454711914°C,43.33%
480,2023-03-09T13:05:00+04:00 Dubai,24.567575454711914°C,43.33%
481,2023-03-09T13:10:00+04:00 Dubai,24.567575454711914°C,43.33%
482,2023-03-09T13:15:00+04:00 Dubai,24.567575454711914°C,43.33%
483,2023-03-09T13:20:00+04:00 Dubai,24.567575454711914°C,43.33%
484,2023-03-09T13:25:00+04:00 Dubai,24.567575454711914°C,43.33%
485,2023-03-09T13:30:00+04:00 Dubai,24.567575454711914°C,43.33%
486,2023-03-09T13:35:00+04:00 Dubai,24.567575454711914°C,43.33%
487,2023-03-09T13:40:00+04:00 Dubai,24.567575454711914°C,43.33%
488,2023-03-09T13:45:00+04:00 Dubai,24.567575454711914°C,43.33%
489,2023-03-09T13:50:00+04:00 Dubai,24.567575454711914°C,43.33%
490,2023-03-09T13:55:00+04:00 Dubai,24.567575454711914°C,43.33%
491,2023-03-09T14:00:00+04:00 Dubai,24.567575454711914°C,43.33%
492,2023-03-09T14:05:00+04:00 Dubai,24.567575454711914°C,43.33%
493,2023-03-09T14:10:00+04:00 Dubai,24.567575454711914°C,43.33%
494,2023-03-09T14:15:00+04:00 Dubai,24.567575454711914°C,43.33%
495,2023-03-09T14:20:00+04:00 Dubai,24.567575454711914°C,43.33%
496,2023-03-09T14:25:00+04:00 Dubai,24.567575454711914°C,43.33%
497,2023-03-09T14:30:00+04:00 Dubai,24.567575454711914°C,43.33%
498,2023-03-09T14:35:00+04:00 Dubai,24.567575454711914°C,43.33%
499,2023-03-09T14:40:00+04:00 Dubai,24.567575454711914°C,43.33%
500,2023-03-09T14:45:00+04:00 Dubai,24.567575454711914°C,43.33%
501,2023-03-09T14:50:00+04:00 Dubai,24.567575454711914°C,43.33%
502,2023-03-09T14:55:00+04:00 Dubai,24.567575454711914°C,43.33%
503,2023-03-09T15:00:00+04:00 Dubai,24.567575454711914°C,43.33%
504,2023-03-09T15:05:00+04:00 Dubai,24.567575454711914°C,43.33%
505,2023-03-09T15:10:00+04:00 Dubai,24.567575454711914°C,43.33%
506,2023-03-09T15:15:00+04:00 Dubai,24.567575454711914°C,43.33%
507,2023-03-09T15:20:00+04:00 Dubai,24.567575454711914°C,43.33%
508,2023-03-09T15:25:00+04:00 Dubai,24.567575454711914°C,43.33%
509,2023-03-09T15:30:00+04:00 Dubai,24.567575454711914°C,43.33%
510,2023-03-09T15:35:00+04:00 Dubai,24.567575454711914°C,43.33%
511,2023-03-09T15:40:00+04:00 Dubai,24.567575454711914°C,43.33%
512,2023-03-09T15:45:00+04:00 Dubai,24.567575454711914°C,43.33%
513,2023-03-09T15:50:00+04:00 Dubai,24.567575454711914°C,43.33%
514,2023-03-09T15:55:00+04:00 Dubai,24.567575454711914°C,43.33%
515,2023-03-09T16:00:00+04:00 Dubai,24.567575454711914°C,43.33%
516,2023-03-09T16:05:00+04:00 Dubai,24.567575454711914°C,43.33%
517,2023-03-09T16:10:00+04:00 Dubai,24.567575454711914°C,43.33%
518,2023-03-09T16:15:00+04:00 Dubai,24.567575454711914°C,43.33%
519,2023-03-09T16:20:00+04:00 Dubai,24.567575454711914°C,43.33%
520,2023-03-09T16:25:00+04:00 Dubai,24.567575454711914°C,43.33%
521,2023-03-09T16:30:00+04:00 Dubai,24.567575454711914°C,43.33%
522,2023-03-09T16:35:00+04:00 Dubai,24.567575454711914°C,43.33%
523,2023-03-09T16:40:00+04:00 Dubai,24.567575454711914°C,43.33%
524,2023-03-09T16:45:00+04:00 Dubai,24.567575454711914°C,43.33%
525,2023-03-09T16:50:00+04:00 Dubai,24.567575454711914°C,43.33%
526,2023-03-09T16:55:00+04:00 Dubai,24.567575454711914°C,43.33%
527,2023-03-09T17:00:00+04:00 Dubai,24.567575454711914°C,43.33%
528,2023-03-09T17:05:00+04:00 Dubai,24.567575454711914°C,43.33%
529,2023-03-09T17:10:00+04:00 Dubai,24.567575454711914°C,43.33%
530,2023-03-09T17:15:00+04:00 Dubai,24.418554306030273°C,42.28%
531,2023-03-09T17:20:00+04:00 Dubai,24.418554306030273°C,42.28%
532,2023-03-09T17:25:00+04:00 Dubai,24.418554306030273°C,41.17%
533,2023-03-09T17:30:00+04:00 Dubai,24.418554306030273°C,38.93%
534,2023-03-09T17:35:00+04:00 Dubai,24.269695281982422°C,37.73%
535,2023-03-09T17:40:00+04:00 Dubai,24.269695281982422°C,39.07%
536,2023-03-09T17:45:00+04:00 Dubai,24.269695281982422°C,39.07%
537,2023-03-09T17:50:00+04:00 Dubai,24.269695281982422°C,39.07%
538,2023-03-09T17:55:00+04:00 Dubai,24.269695281982422°C,39.07%
539,2023-03-09T18:00:00+04:00 Dubai,24.269695281982422°C,39.07%
540,2023-03-09T18:05:00+04:00 Dubai,24.269695281982422°C,39.07%
541,2023-03-09T18:10:00+04:00 Dubai,24.269695281982422°C,39.07%
542,2023-03-09T18:15:00+04:00 Dubai,24.269695281982422°C,39.07%
543,2023-03-09T18:20:00+04:00 Dubai,24.11994171142578°C,39.07%
544,2023-03-09T18:25:00+04:00 Dubai,24.11994171142578°C,39.07%
545,2023-03-09T18:30:00+04:00 Dubai,24.11994171142578°C,39.07%
546,2023-03-09T18:35:00+04:00 Dubai,24.11994171142578°C,37.96%
547,2023-03-09T18:40:00+04:00 Dubai,24.11994171142578°C,36.89%
548,2023-03-09T18:45:00+04:00 Dubai,24.11994171142578°C,34.83%
549,2023-03-09T18:50:00+04:00 Dubai,24.11994171142578°C,33.74%
550,2023-03-09T18:55:00+04:00 Dubai,24.11994171142578°C,32.58%
551,2023-03-09T19:00:00+04:00 Dubai,24.11994171142578°C,33.91%
552,2023-03-09T19:05:00+04:00 Dubai,24.11994171142578°C,33.91%
553,2023-03-09T19:10:00+04:00 Dubai,24.11994171142578°C,33.91%
554,2023-03-09T19:15:00+04:00 Dubai,24.11994171142578°C,33.91%
555,2023-03-09T19:20:00+04:00 Dubai,24.11994171142578°C,33.91%
556,2023-03-09T19:25:00+04:00 Dubai,24.11994171142578°C,33.91%
557,2023-03-09T19:30:00+04:00 Dubai,24.11994171142578°C,33.91%
558,2023-03-09T19:35:00+04:00 Dubai,24.11994171142578°C,33.91%
559,2023-03-09T19:40:00+04:00 Dubai,24.11994171142578°C,33.91%
560,2023-03-09T19:45:00+04:00 Dubai,24.11994171142578°C,33.91%
561,2023-03-09T19:50:00+04:00 Dubai,24.11994171142578°C,33.91%
562,2023-03-09T19:55:00+04:00 Dubai,24.11994171142578°C,33.91%
563,2023-03-09T20:00:00+04:00 Dubai,24.11994171142578°C,33.91%
564,2023-03-09T20:05:00+04:00 Dubai,24.11994171142578°C,33.91%
565,2023-03-09T20:10:00+04:00 Dubai,24.11994171142578°C,33.91%
566,2023-03-09T20:15:00+04:00 Dubai,24.11994171142578°C,33.91%
567,2023-03-09T20:20:00+04:00 Dubai,24.11994171142578°C,33.91%
568,2023-03-09T20:25:00+04:00 Dubai,24.11994171142578°C,33.91%
569,2023-03-09T20:30:00+04:00 Dubai,24.11994171142578°C,33.91%
570,2023-03-09T20:35:00+04:00 Dubai,24.11994171142578°C,33.91%
571,2023-03-09T20:40:00+04:00 Dubai,24.11994171142578°C,33.91%
572,2023-03-09T20:45:00+04:00 Dubai,24.11994171142578°C,33.91%
573,2023-03-09T20:50:00+04:00 Dubai,24.11994171142578°C,33.91%
574,2023-03-09T20:55:00+04:00 Dubai,24.11994171142578°C,33.91%
575,2023-03-09T21:00:00+04:00 Dubai,24.11994171142578°C,33.91%
576,2023-03-09T21:05:00+04:00 Dubai,24.11994171142578°C,33.91%
577,2023-03-09T21:10:00+04:00 Dubai,24.11994171142578°C,33.91%
578,2023-03-09T21:15:00+04:00 Dubai,24.11994171142578°C,33.91%
579,2023-03-09T21:20:00+04:00 Dubai,24.11994171142578°C,33.91%
580,2023-03-09T21:25:00+04:00 Dubai,24.11994171142578°C,33.91%
581,2023-03-09T21:30:00+04:00 Dubai,24.11994171142578°C,33.91%
582,2023-03-09T21:35:00+04:00 Dubai,24.11994171142578°C,33.91%
583,2023-03-09T21:40:00+04:00 Dubai,24.11994171142578°C,33.91%
584,2023-03-09T21:45:00+04:00 Dubai,24.11994171142578°C,33.91%
585,2023-03-09T21:50:00+04:00 Dubai,24.11994171142578°C,33.91%
586,2023-03-09T21:55:00+04:00 Dubai,24.11994171142578°C,33.91%
587,2023-03-09T22:00:00+04:00 Dubai,24.11994171142578°C,33.91%
588,2023-03-09T22:05:00+04:00 Dubai,24.11994171142578°C,33.91%
589,2023-03-09T22:10:00+04:00 Dubai,24.11994171142578°C,33.91%
590,2023-03-09T22:15:00+04:00 Dubai,24.11994171142578°C,33.91%
591,2023-03-09T22:20:00+04:00 Dubai,24.11994171142578°C,33.91%
592,2023-03-09T22:25:00+04:00 Dubai,24.11994171142578°C,33.91%
593,2023-03-09T22:30:00+04:00 Dubai,24.11994171142578°C,33.91%
594,2023-03-09T22:35:00+04:00 Dubai,24.11994171142578°C,33.91%
595,2023-03-09T22:40:00+04:00 Dubai,24.11994171142578°C,33.91%
596,2023-03-09T22:45:00+04:00 Dubai,24.11994171142578°C,33.91%
597,2023-03-09T22:50:00+04:00 Dubai,24.11994171142578°C,33.91%
598,2023-03-09T22:55:00+04:00 Dubai,24.11994171142578°C,33.91%
599,2023-03-09T23:00:00+04:00 Dubai,24.11994171142578°C,33.91%
600,2023-03-09T23:05:00+04:00 Dubai,24.11994171142578°C,33.91%
601,2023-03-09T23:10:00+04:00 Dubai,24.11994171142578°C,33.91%
602,2023-03-09T23:15:00+04:00 Dubai,24.11994171142578°C,33.91%
603,2023-03-09T23:20:00+04:00 Dubai,24.11994171142578°C,33.91%
604,2023-03-09T23:25:00+04:00 Dubai,24.11994171142578°C,33.91%
605,2023-03-09T23:30:00+04:00 Dubai,24.11994171142578°C,33.91%
606,2023-03-09T23:35:00+04:00 Dubai,24.11994171142578°C,33.91%
607,2023-03-09T23:40:00+04:00 Dubai,24.11994171142578°C,33.91%
608,2023-03-09T23:45:00+04:00 Dubai,24.11994171142578°C,33.91%
609,2023-03-09T23:50:00+04:00 Dubai,24.11994171142578°C,33.91%
610,2023-03-09T23:55:00+04:00 Dubai,24.11994171142578°C,33.91%
611,2023-03-10T00:00:00+04:00 Dubai,24.11994171142578°C,0%
612,2023-03-10T00:05:00+04:00 Dubai,24.11994171142578°C,16.99%
613,2023-03-10T00:10:00+04:00 Dubai,24.11994171142578°C,26.84%
614,2023-03-10T00:15:00+04:00 Dubai,24.270212173461914°C,26.84%
615,2023-03-10T00:20:00+04:00 Dubai,24.270212173461914°C,29.09%
616,2023-03-10T00:25:00+04:00 Dubai,24.270212173461914°C,31.38%
617,2023-03-10T00:30:00+04:00 Dubai,24.270212173461914°C,32.37%
618,2023-03-10T00:35:00+04:00 Dubai,24.270212173461914°C,32.37%
619,2023-03-10T00:40:00+04:00 Dubai,24.270212173461914°C,33.42%
620,2023-03-10T00:45:00+04:00 Dubai,24.270212173461914°C,34.57%
621,2023-03-10T00:50:00+04:00 Dubai,24.270212173461914°C,34.57%
622,2023-03-10T00:55:00+04:00 Dubai,24.270212173461914°C,35.63%
623,2023-03-10T01:00:00+04:00 Dubai,24.270212173461914°C,36.75%
624,2023-03-10T01:05:00+04:00 Dubai,24.270212173461914°C,35.63%
625,2023-03-10T01:10:00+04:00 Dubai,24.270212173461914°C,35.63%
626,2023-03-10T01:15:00+04:00 Dubai,24.270212173461914°C,35.63%
627,2023-03-10T01:20:00+04:00 Dubai,24.270212173461914°C,35.63%
628,2023-03-10T01:25:00+04:00 Dubai,24.270212173461914°C,35.63%
629,2023-03-10T01:30:00+04:00 Dubai,24.270212173461914°C,35.63%
630,2023-03-10T01:35:00+04:00 Dubai,24.270212173461914°C,35.63%
631,2023-03-10T01:40:00+04:00 Dubai,24.270212173461914°C,35.63%
632,2023-03-10T01:45:00+04:00 Dubai,24.270212173461914°C,35.63%
633,2023-03-10T01:50:00+04:00 Dubai,24.270212173461914°C,35.63%
634,2023-03-10T01:55:00+04:00 Dubai,24.270212173461914°C,35.63%
635,2023-03-10T02:00:00+04:00 Dubai,24.270212173461914°C,35.63%
636,2023-03-10T02:05:00+04:00 Dubai,24.270212173461914°C,35.63%
637,2023-03-10T02:10:00+04:00 Dubai,24.270212173461914°C,35.63%
638,2023-03-10T02:15:00+04:00 Dubai,24.270212173461914°C,35.63%
639,2023-03-10T02:20:00+04:00 Dubai,24.270212173461914°C,35.63%
640,2023-03-10T02:25:00+04:00 Dubai,24.270212173461914°C,35.63%
641,2023-03-10T02:30:00+04:00 Dubai,24.270212173461914°C,35.63%
642,2023-03-10T02:35:00+04:00 Dubai,24.270212173461914°C,35.63%
643,2023-03-10T02:40:00+04:00 Dubai,24.270212173461914°C,35.63%
644,2023-03-10T02:45:00+04:00 Dubai,24.270212173461914°C,35.63%
645,2023-03-10T02:50:00+04:00 Dubai,24.270212173461914°C,35.63%
646,2023-03-10T02:55:00+04:00 Dubai,24.121633529663086°C,35.63%
647,2023-03-10T03:00:00+04:00 Dubai,24.121633529663086°C,35.63%
648,2023-03-10T03:05:00+04:00 Dubai,24.121633529663086°C,35.63%
649,2023-03-10T03:10:00+04:00 Dubai,24.121633529663086°C,35.63%
650,2023-03-10T03:15:00+04:00 Dubai,24.121633529663086°C,35.63%
651,2023-03-10T03:20:00+04:00 Dubai,24.121633529663086°C,35.63%
652,2023-03-10T03:25:00+04:00 Dubai,24.121633529663086°C,35.63%
653,2023-03-10T03:30:00+04:00 Dubai,24.121633529663086°C,35.63%
654,2023-03-10T03:35:00+04:00 Dubai,24.121633529663086°C,35.63%
655,2023-03-10T03:40:00+04:00 Dubai,24.121633529663086°C,35.63%
656,2023-03-10T03:45:00+04:00 Dubai,24.121633529663086°C,35.63%
657,2023-03-10T03:50:00+04:00 Dubai,24.121633529663086°C,35.63%
658,2023-03-10T03:55:00+04:00 Dubai,24.121633529663086°C,35.63%
659,2023-03-10T04:00:00+04:00 Dubai,24.121633529663086°C,35.63%
660,2023-03-10T04:05:00+04:00 Dubai,24.121633529663086°C,35.63%
661,2023-03-10T04:10:00+04:00 Dubai,24.121633529663086°C,35.63%
662,2023-03-10T04:15:00+04:00 Dubai,24.121633529663086°C,35.63%
663,2023-03-10T04:20:00+04:00 Dubai,24.121633529663086°C,35.63%
664,2023-03-10T04:25:00+04:00 Dubai,24.121633529663086°C,35.63%
665,2023-03-10T04:30:00+04:00 Dubai,24.121633529663086°C,35.63%
666,2023-03-10T04:35:00+04:00 Dubai,24.121633529663086°C,35.63%
667,2023-03-10T04:40:00+04:00 Dubai,24.121633529663086°C,35.63%
668,2023-03-10T04:45:00+04:00 Dubai,24.121633529663086°C,35.63%
669,2023-03-10T04:50:00+04:00 Dubai,24.121633529663086°C,35.63%
670,2023-03-10T04:55:00+04:00 Dubai,24.121633529663086°C,35.63%
671,2023-03-10T05:00:00+04:00 Dubai,24.121633529663086°C,35.63%
672,2023-03-10T05:05:00+04:00 Dubai,24.121633529663086°C,35.63%
673,2023-03-10T05:10:00+04:00 Dubai,24.121633529663086°C,35.63%
674,2023-03-10T05:15:00+04:00 Dubai,24.121633529663086°C,35.63%
675,2023-03-10T05:20:00+04:00 Dubai,24.121633529663086°C,35.63%
676,2023-03-10T05:25:00+04:00 Dubai,24.270185470581055°C,35.63%
677,2023-03-10T05:30:00+04:00 Dubai,24.270185470581055°C,35.63%
678,2023-03-10T05:35:00+04:00 Dubai,24.270185470581055°C,35.63%
679,2023-03-10T05:40:00+04:00 Dubai,24.270185470581055°C,35.63%
680,2023-03-10T05:45:00+04:00 Dubai,24.270185470581055°C,35.63%
681,2023-03-10T05:50:00+04:00 Dubai,24.270185470581055°C,35.63%
682,2023-03-10T05:55:00+04:00 Dubai,24.270185470581055°C,35.63%
683,2023-03-10T06:00:00+04:00 Dubai,24.270185470581055°C,35.63%
684,2023-03-10T06:05:00+04:00 Dubai,24.270185470581055°C,35.63%
685,2023-03-10T06:10:00+04:00 Dubai,24.270185470581055°C,35.63%
686,2023-03-10T06:15:00+04:00 Dubai,24.270185470581055°C,35.63%
687,2023-03-10T06:20:00+04:00 Dubai,24.270185470581055°C,35.63%
688,2023-03-10T06:25:00+04:00 Dubai,24.270185470581055°C,35.63%
689,2023-03-10T06:30:00+04:00 Dubai,24.270185470581055°C,35.63%
690,2023-03-10T06:35:00+04:00 Dubai,24.270185470581055°C,35.63%
691,2023-03-10T06:40:00+04:00 Dubai,24.270185470581055°C,35.63%
692,2023-03-10T06:45:00+04:00 Dubai,24.270185470581055°C,35.63%
693,2023-03-10T06:50:00+04:00 Dubai,24.270185470581055°C,35.63%
694,2023-03-10T06:55:00+04:00 Dubai,24.270185470581055°C,35.63%
695,2023-03-10T07:00:00+04:00 Dubai,24.270185470581055°C,35.63%
696,2023-03-10T07:05:00+04:00 Dubai,24.270185470581055°C,35.63%
697,2023-03-10T07:10:00+04:00 Dubai,24.270185470581055°C,35.63%
698,2023-03-10T07:15:00+04:00 Dubai,24.270185470581055°C,35.63%
699,2023-03-10T07:20:00+04:00 Dubai,24.270185470581055°C,35.63%
700,2023-03-10T07:25:00+04:00 Dubai,24.270185470581055°C,35.63%
701,2023-03-10T07:30:00+04:00 Dubai,24.270185470581055°C,35.63%
702,2023-03-10T07:35:00+04:00 Dubai,24.270185470581055°C,35.63%
703,2023-03-10T07:40:00+04:00 Dubai,24.270185470581055°C,35.63%
704,2023-03-10T07:45:00+04:00 Dubai,24.270185470581055°C,35.63%
705,2023-03-10T07:50:00+04:00 Dubai,24.270185470581055°C,35.63%
706,2023-03-10T07:55:00+04:00 Dubai,24.270185470581055°C,35.63%
707,2023-03-10T08:00:00+04:00 Dubai,24.270185470581055°C,35.63%
708,2023-03-10T08:05:00+04:00 Dubai,24.270185470581055°C,35.63%
709,2023-03-10T08:10:00+04:00 Dubai,24.270185470581055°C,35.63%
710,2023-03-10T08:15:00+04:00 Dubai,24.270185470581055°C,35.63%
711,2023-03-10T08:20:00+04:00 Dubai,24.270185470581055°C,35.63%
712,2023-03-10T08:25:00+04:00 Dubai,24.270185470581055°C,35.63%
713,2023-03-10T08:30:00+04:00 Dubai,24.270185470581055°C,35.63%
714,2023-03-10T08:35:00+04:00 Dubai,24.270185470581055°C,35.63%
