ds,yhat
2023-03-11T18:30:00+0000 Dubai,23.927603
2023-03-11T18:35:00+0000 Dubai,23.91146
2023-03-11T18:40:00+0000 Dubai,23.907568
2023-03-11T18:45:00+0000 Dubai,23.897718
2023-03-11T18:50:00+0000 Dubai,23.895206
2023-03-11T18:55:00+0000 Dubai,23.891573
2023-03-11T19:00:00+0000 Dubai,23.70097
2023-03-11T19:05:00+0000 Dubai,23.700453
2023-03-11T19:10:00+0000 Dubai,23.650824
2023-03-11T19:15:00+0000 Dubai,23.646894
2023-03-11T19:20:00+0000 Dubai,23.633644
2023-03-11T19:25:00+0000 Dubai,23.633436
2023-03-11T19:30:00+0000 Dubai,23.632833
2023-03-11T19:35:00+0000 Dubai,23.629648
2023-03-11T19:40:00+0000 Dubai,23.622507
2023-03-11T19:45:00+0000 Dubai,23.604443
2023-03-11T19:50:00+0000 Dubai,23.601574
2023-03-11T19:55:00+0000 Dubai,23.593763
2023-03-11T20:00:00+0000 Dubai,23.524963
2023-03-11T20:05:00+0000 Dubai,23.529036
2023-03-11T20:10:00+0000 Dubai,23.527464
2023-03-11T20:15:00+0000 Dubai,23.526947
2023-03-11T20:20:00+0000 Dubai,23.527079
2023-03-11T20:25:00+0000 Dubai,23.52687
2023-03-11T20:30:00+0000 Dubai,23.526266
2023-03-11T20:35:00+0000 Dubai,23.532778
2023-03-11T20:40:00+0000 Dubai,23.523731
2023-03-11T20:45:00+0000 Dubai,23.522446
2023-03-11T20:50:00+0000 Dubai,23.526125
2023-03-11T20:55:00+0000 Dubai,23.525452
2023-03-11T21:00:00+0000 Dubai,23.530407
2023-03-11T21:05:00+0000 Dubai,23.51711
2023-03-11T21:10:00+0000 Dubai,23.51462
2023-03-11T21:15:00+0000 Dubai,23.516886
2023-03-11T21:20:00+0000 Dubai,23.518024
2023-03-11T21:25:00+0000 Dubai,23.517817
2023-03-11T21:30:00+0000 Dubai,23.517752
2023-03-11T21:35:00+0000 Dubai,23.51749
2023-03-11T21:40:00+0000 Dubai,23.52059
2023-03-11T21:45:00+0000 Dubai,23.51859
2023-03-11T21:50:00+0000 Dubai,23.518179
2023-03-11T21:55:00+0000 Dubai,23.520727
2023-03-11T22:00:00+0000 Dubai,23.522507
2023-03-11T22:05:00+0000 Dubai,23.51939
2023-03-11T22:10:00+0000 Dubai,23.516903
2023-03-11T22:15:00+0000 Dubai,23.52137
2023-03-11T22:20:00+0000 Dubai,23.522509
2023-03-11T22:25:00+0000 Dubai,23.5223
2023-03-11T22:30:00+0000 Dubai,23.522236
2023-03-11T22:35:00+0000 Dubai,23.521975
2023-03-11T22:40:00+0000 Dubai,23.532452
2023-03-11T22:45:00+0000 Dubai,23.533152
2023-03-11T22:50:00+0000 Dubai,23.532713
2023-03-11T22:55:00+0000 Dubai,23.53895
2023-03-11T23:00:00+0000 Dubai,23.53761
2023-03-11T23:05:00+0000 Dubai,23.529905
2023-03-11T23:10:00+0000 Dubai,23.526674
2023-03-11T23:15:00+0000 Dubai,23.528484
2023-03-11T23:20:00+0000 Dubai,23.52772
2023-03-11T23:25:00+0000 Dubai,23.527512
2023-03-11T23:30:00+0000 Dubai,23.527447
2023-03-11T23:35:00+0000 Dubai,23.527185
2023-03-11T23:40:00+0000 Dubai,23.532051
2023-03-11T23:45:00+0000 Dubai,23.530775
2023-03-11T23:50:00+0000 Dubai,23.522324
2023-03-11T23:55:00+0000 Dubai,23.521122
2023-03-12T00:00:00+0000 Dubai,23.410353
2023-03-12T00:05:00+0000 Dubai,23.414165
2023-03-12T00:10:00+0000 Dubai,23.417656
2023-03-12T00:15:00+0000 Dubai,23.424112
2023-03-12T00:20:00+0000 Dubai,23.42692
2023-03-12T00:25:00+0000 Dubai,23.413532
2023-03-12T00:30:00+0000 Dubai,23.34115
2023-03-12T00:35:00+0000 Dubai,23.338129
2023-03-12T00:40:00+0000 Dubai,23.334608
2023-03-12T00:45:00+0000 Dubai,23.333027
2023-03-12T00:50:00+0000 Dubai,23.336437
2023-03-12T00:55:00+0000 Dubai,23.336422
