ds,y,temp
08/03/2023 10:00,24.12167549,
08/03/2023 10:05,24.12167549,
08/03/2023 10:10,24.12167549,
08/03/2023 10:15,24.12167549,
08/03/2023 10:20,24.27035141,
08/03/2023 10:25,24.27035141,
08/03/2023 10:30,24.27035141,
08/03/2023 10:35,24.27035141,
08/03/2023 10:40,24.27035141,
08/03/2023 10:45,24.27035141,
08/03/2023 10:50,24.27035141,
08/03/2023 10:55,24.27035141,
08/03/2023 11:00,24.42003822,
08/03/2023 11:05,24.42003822,
08/03/2023 11:10,24.42003822,
08/03/2023 11:15,24.42003822,
08/03/2023 11:20,24.42003822,
08/03/2023 11:25,24.42003822,
08/03/2023 11:30,24.42003822,
08/03/2023 11:35,24.42003822,
08/03/2023 11:40,24.42003822,
08/03/2023 11:45,24.42003822,
08/03/2023 11:50,24.27145195,
08/03/2023 11:55,24.27145195,
08/03/2023 12:00,24.27145195,
08/03/2023 12:05,24.27145195,
08/03/2023 12:10,24.27145195,
08/03/2023 12:15,24.27145195,
08/03/2023 12:20,24.27145195,
08/03/2023 12:25,24.12251282,
08/03/2023 12:30,24.12251282,
08/03/2023 12:35,24.12251282,
08/03/2023 12:40,24.12251282,
08/03/2023 12:45,24.12251282,
08/03/2023 12:50,24.12251282,
08/03/2023 12:55,24.12251282,
08/03/2023 13:00,24.27130127,
08/03/2023 13:05,24.27130127,
08/03/2023 13:10,24.27130127,
08/03/2023 13:15,24.27130127,
08/03/2023 13:20,24.27130127,
08/03/2023 13:25,24.27130127,
08/03/2023 13:30,24.27130127,
08/03/2023 13:35,24.27130127,
08/03/2023 13:40,24.27130127,
08/03/2023 13:45,24.27130127,
08/03/2023 13:50,24.27130127,
08/03/2023 13:55,24.27130127,
08/03/2023 14:00,24.27130127,
08/03/2023 14:05,24.42118073,
08/03/2023 14:10,24.42118073,
08/03/2023 14:15,24.42118073,
08/03/2023 14:20,24.42118073,
08/03/2023 14:25,24.42118073,
08/03/2023 14:30,24.42118073,
08/03/2023 14:35,24.42118073,
08/03/2023 14:40,24.42118073,
08/03/2023 14:45,24.42118073,
08/03/2023 14:50,24.42118073,
08/03/2023 14:55,24.42118073,
08/03/2023 15:00,24.42118073,
08/03/2023 15:05,24.42118073,
08/03/2023 15:10,24.42118073,
08/03/2023 15:15,24.42118073,
08/03/2023 15:20,24.42118073,
08/03/2023 15:25,24.42118073,
08/03/2023 15:30,24.42118073,
08/03/2023 15:35,24.42118073,
08/03/2023 15:40,24.42118073,
08/03/2023 15:45,24.42118073,
08/03/2023 15:50,24.42118073,
08/03/2023 15:55,24.42118073,
08/03/2023 16:00,24.42118073,
08/03/2023 16:05,24.42118073,
08/03/2023 16:10,24.42118073,
08/03/2023 16:15,24.42118073,
08/03/2023 16:20,24.42118073,
08/03/2023 16:25,24.42118073,
08/03/2023 16:30,24.42118073,
08/03/2023 16:35,24.42118073,
08/03/2023 16:40,24.42118073,
08/03/2023 16:45,24.42118073,
08/03/2023 16:50,24.42118073,
08/03/2023 16:55,24.42118073,
08/03/2023 17:00,24.42118073,
08/03/2023 17:05,24.42118073,
08/03/2023 17:10,24.42118073,
08/03/2023 17:15,24.42118073,
08/03/2023 17:20,24.42118073,
08/03/2023 17:25,24.42118073,
08/03/2023 17:30,24.42118073,
08/03/2023 17:35,24.42118073,
08/03/2023 17:40,24.42118073,
08/03/2023 17:45,24.27264214,
08/03/2023 17:50,24.27264214,
08/03/2023 17:55,24.27264214,
