ts,temp,new_point
2023-03-08 12:40:00,24.437149743778303,43.54557542657755
2023-03-08 12:45:00,24.447896501222942,43.64238066683485
2023-03-08 12:50:00,24.458643258667593,43.739185907092164
2023-03-08 12:55:00,24.469390016112232,43.83599114734947
2023-03-08 13:00:00,24.480136773556875,43.93279638760678
2023-03-08 13:05:00,24.49088353100152,44.02960162786409
2023-03-08 13:10:00,24.501630288446158,44.1264068681214
2023-03-08 13:15:00,24.5123770458908,44.22321210837871
2023-03-08 13:20:00,24.523123803335444,44.320017348636014
2023-03-08 13:25:00,24.533870560780088,44.41682258889332
2023-03-08 13:30:00,24.544617318224727,44.51362782915063
2023-03-08 13:35:00,24.555364075669374,44.61043306940793
2023-03-08 13:40:00,24.566110833114017,44.70723830966524
2023-03-08 13:45:00,24.57685759055866,44.804043549922554
2023-03-08 13:50:00,24.587604348003303,44.900848790179865
2023-03-08 13:55:00,24.598351105447943,44.99765403043717
2023-03-08 14:00:00,24.609097862892586,45.09445927069448
2023-03-08 14:05:00,24.61984462033723,45.19126451095178
2023-03-08 14:10:00,24.63059137778187,45.28806975120909
2023-03-08 14:15:00,24.641338135226512,45.3848749914664
2023-03-08 14:20:00,24.652084892671155,45.48168023172371
2023-03-08 14:25:00,24.662831650115802,45.57848547198102
2023-03-08 14:30:00,24.673578407560445,45.67529071223833
2023-03-08 14:35:00,24.684325165005088,45.77209595249563
2023-03-08 14:40:00,24.695071922449728,45.86890119275294
2023-03-08 14:45:00,24.70581867989437,45.965706433010254
2023-03-08 14:50:00,24.716565437339014,46.06251167326756
2023-03-08 14:55:00,24.727312194783654,46.159316913524876
2023-03-08 15:00:00,24.738058952228297,46.25612215378218
2023-03-08 15:05:00,24.74880570967294,46.35292739403948
2023-03-08 15:10:00,24.759552467117587,46.449732634296794
2023-03-08 15:15:00,24.77029922456223,46.5465378745541
2023-03-08 15:20:00,24.78104598200687,46.64334311481141
2023-03-08 15:25:00,24.791792739451513,46.74014835506872
2023-03-08 15:30:00,24.802539496896156,46.83695359532602
2023-03-08 15:35:00,24.8132862543408,46.93375883558334
2023-03-08 15:40:00,24.82403301178544,47.030564075840644
2023-03-08 15:45:00,24.83477976923008,47.12736931609795
2023-03-08 15:50:00,24.845526526674725,47.22417455635526
2023-03-08 15:55:00,24.856273284119364,47.32097979661256
2023-03-08 16:00:00,24.867020041564015,47.41778503686987
2023-03-08 16:05:00,24.877766799008654,47.51459027712718
2023-03-08 16:10:00,24.888513556453297,47.61139551738449
2023-03-08 16:15:00,24.89926031389794,47.708200757641805
2023-03-08 16:20:00,24.91000707134258,47.80500599789911
2023-03-08 16:25:00,24.920753828787223,47.90181123815641
2023-03-08 16:30:00,24.931500586231866,47.99861647841372
2023-03-08 16:35:00,24.94224734367651,48.09542171867103
2023-03-08 16:40:00,24.95299410112115,48.19222695892834
2023-03-08 16:45:00,24.9637408585658,48.28903219918565
2023-03-08 16:50:00,24.97448761601044,48.38583743944296
2023-03-08 16:55:00,24.985234373455082,48.48264267970026
2023-03-08 17:00:00,24.995981130899725,48.57944791995757
2023-03-08 17:05:00,25.006727888344365,48.67625316021488
2023-03-08 17:10:00,25.017474645789008,48.77305840047219
2023-03-08 17:15:00,25.02822140323365,48.86986364072949
2023-03-08 17:20:00,25.038968160678294,48.9666688809868
2023-03-08 17:25:00,25.049714918122934,49.06347412124411
2023-03-08 17:30:00,25.06046167556758,49.16027936150142
2023-03-08 17:35:00,25.071208433012224,49.25708460175873
2023-03-08 17:40:00,25.081955190456867,49.35388984201604
2023-03-08 17:45:00,25.09270194790151,49.45069508227334
2023-03-08 17:50:00,25.10344870534615,49.54750032253065
2023-03-08 17:55:00,25.114195462790793,49.644305562787956
2023-03-08 18:00:00,25.124942220235436,49.74111080304527
2023-03-08 18:05:00,25.135688977680076,49.83791604330258
2023-03-08 18:10:00,25.14643573512472,49.93472128355989
2023-03-08 18:15:00,25.157182492569362,50.03152652381719
2023-03-08 18:20:00,25.16792925001401,50.1283317640745
2023-03-08 18:25:00,25.17867600745865,50.22513700433182
2023-03-08 18:30:00,25.18942276490329,50.32194224458912
2023-03-08 18:35:00,25.200169522347935,50.418747484846435
2023-03-08 18:40:00,25.210916279792578,50.51555272510374
2023-03-08 18:45:00,25.22166303723722,50.61235796536104
2023-03-08 18:50:00,25.23240979468186,50.70916320561835
2023-03-08 18:55:00,25.243156552126504,50.805968445875656
2023-03-08 19:00:00,25.253903309571147,50.902773686132974
2023-03-08 19:05:00,25.264650067015793,50.99957892639027
2023-03-08 19:10:00,25.275396824460437,51.09638416664759
2023-03-08 19:15:00,25.286143581905076,51.193189406904885
2023-03-08 19:20:00,25.29689033934972,51.2899946471622
2023-03-08 19:25:00,25.307637096794362,51.38679988741951
2023-03-08 19:30:00,25.318383854239006,51.48360512767682
2023-03-08 19:35:00,25.329130611683645,51.58041036793412
2023-03-08 19:40:00,25.33987736912829,51.67721560819143
2023-03-08 19:45:00,25.35062412657293,51.77402084844875
2023-03-08 19:50:00,25.36137088401757,51.87082608870604
2023-03-08 19:55:00,25.37211764146222,51.96763132896336
2023-03-08 20:00:00,25.38286439890686,52.06443656922067
2023-03-08 20:05:00,25.393611156351504,52.16124180947797
2023-03-08 20:10:00,25.404357913796147,52.25804704973528
2023-03-08 20:15:00,25.415104671240787,52.354852289992586
2023-03-08 20:20:00,25.42585142868543,52.4516575302499
2023-03-08 20:25:00,25.436598186130073,52.5484627705072
2023-03-08 20:30:00,25.447344943574716,52.64526801076452
2023-03-08 20:35:00,25.458091701019356,52.74207325102182
