ds,y,ds,y
07/03/2023 21:05,23.52228165,07/03/2023 21:05,23.53111297
07/03/2023 21:10,23.52228165,07/03/2023 21:10,23.52910442
07/03/2023 21:15,23.52228165,07/03/2023 21:15,23.5273809
07/03/2023 21:20,23.52228165,07/03/2023 21:20,23.52591022
07/03/2023 21:25,23.52228165,07/03/2023 21:25,23.52465962
07/03/2023 21:30,23.52228165,07/03/2023 21:30,23.52359608
07/03/2023 21:35,23.52228165,07/03/2023 21:35,23.5226865
07/03/2023 21:40,23.52228165,07/03/2023 21:40,23.52189801
07/03/2023 21:45,23.52228165,07/03/2023 21:45,23.52119813
07/03/2023 21:50,23.52228165,07/03/2023 21:50,23.52055506
07/03/2023 21:55,23.52228165,07/03/2023 21:55,23.51993786
07/03/2023 22:00,23.52228165,07/03/2023 22:00,23.51931669
07/03/2023 22:05,23.52228165,07/03/2023 22:05,23.518663
07/03/2023 22:10,23.52228165,07/03/2023 22:10,23.51794969
07/03/2023 22:15,23.52228165,07/03/2023 22:15,23.51715134
07/03/2023 22:20,23.52228165,07/03/2023 22:20,23.51624429
07/03/2023 22:25,23.52228165,07/03/2023 22:25,23.51520685
07/03/2023 22:30,23.52228165,07/03/2023 22:30,23.5140194
07/03/2023 22:35,23.52228165,07/03/2023 22:35,23.51266448
07/03/2023 22:40,23.52228165,07/03/2023 22:40,23.51112689
07/03/2023 22:45,23.52228165,07/03/2023 22:45,23.50939375
07/03/2023 22:50,23.52228165,07/03/2023 22:50,23.50745457
07/03/2023 22:55,23.52228165,07/03/2023 22:55,23.50530124
07/03/2023 23:00,23.52228165,07/03/2023 23:00,23.50292806
07/03/2023 23:05,23.52228165,07/03/2023 23:05,23.50033173
07/03/2023 23:10,23.52228165,07/03/2023 23:10,23.49751131
07/03/2023 23:15,23.52228165,07/03/2023 23:15,23.49446816
07/03/2023 23:20,23.52228165,07/03/2023 23:20,23.49120589
07/03/2023 23:25,23.52228165,07/03/2023 23:25,23.48773026
07/03/2023 23:30,23.52228165,07/03/2023 23:30,23.48404907
07/03/2023 23:35,23.52228165,07/03/2023 23:35,23.48017205
07/03/2023 23:40,23.52228165,07/03/2023 23:40,23.4761107
07/03/2023 23:45,23.52228165,07/03/2023 23:45,23.47187819
07/03/2023 23:50,23.52228165,07/03/2023 23:50,23.46748912
07/03/2023 23:55,23.52228165,07/03/2023 23:55,23.46295943
08/03/2023 0:00,23.52228165,08/03/2023 0:00,23.45830615
08/03/2023 0:05,23.52228165,08/03/2023 0:05,23.45354726
08/03/2023 0:10,23.52228165,08/03/2023 0:10,23.44870144
