ts,temp,new_point
2023-03-11 08:25:00,24.013357621795894,33.41890794933205
2023-03-11 08:30:00,24.032707807453725,33.94348818715638
2023-03-11 08:35:00,24.056467560235504,34.363857133515744
2023-03-11 08:40:00,24.08268719136931,34.70067603560508
2023-03-11 08:45:00,24.1100688143495,34.9847179427023
2023-03-11 08:50:00,24.13782730712657,35.24179822956279
2023-03-11 08:55:00,24.165503773151325,35.491038767825145
2023-03-11 09:00:00,24.192841738054305,35.74659561207629
2023-03-11 09:05:00,24.219707416567214,36.0008887312815
2023-03-11 09:10:00,24.24603866591948,36.25047041931743
2023-03-11 09:15:00,24.271812800377628,36.48805450247988
2023-03-11 09:20:00,24.296867750147744,36.73530418449669
2023-03-11 09:25:00,24.321156765591084,36.98220529028121
2023-03-11 09:30:00,24.34466377867292,37.22712630724565
2023-03-11 09:35:00,24.367371961094307,37.46905539061688
2023-03-11 09:40:00,24.38926925833745,37.70710717113537
2023-03-11 09:45:00,24.41034991848867,37.940301370303516
2023-03-11 09:50:00,24.430614027215377,38.16745588063511
2023-03-11 09:55:00,24.450066212970693,38.38710286687973
2023-03-11 10:00:00,24.468714337809978,38.59806128815563
2023-03-11 10:05:00,24.486568341863272,38.799485049994594
2023-03-11 10:10:00,24.50363939592961,38.99107446977801
2023-03-11 10:15:00,24.51993994127893,39.17213242407835
2023-03-11 10:20:00,24.535483554027504,39.34224868161292
2023-03-11 10:25:00,24.550284689222437,39.501158536365836
2023-03-11 10:30:00,24.564358500913084,39.648699572568745
2023-03-11 10:35:00,24.577720881014493,39.784783918132085
2023-03-11 10:40:00,24.59038845547598,39.90938020254454
2023-03-11 10:45:00,24.60237859147832,40.02251078263651
2023-03-11 10:50:00,24.61370950097234,40.124258615344935
2023-03-11 10:55:00,24.624400298934898,40.21476588350055
2023-03-11 11:00:00,24.634470979228084,40.29422920779457
2023-03-11 11:05:00,24.643942583801433,40.36288424581639
2023-03-11 11:10:00,24.652837171033973,40.42101675743454
2023-03-11 11:15:00,24.661177889022408,40.46895919035288
2023-03-11 11:20:00,24.668988931206663,40.507086593252424
2023-03-11 11:25:00,24.676295613559905,40.53581339923807
2023-03-11 11:30:00,24.683124283866196,40.5555894441594
2023-03-11 11:35:00,24.68950229890673,40.56689607328951
2023-03-11 11:40:00,24.695457936827257,40.57024223089106
2023-03-11 11:45:00,24.7010203504202,40.566159540523614
2023-03-11 11:50:00,24.70621943240713,40.55519681540216
2023-03-11 11:55:00,24.7110856503849,40.53791634604415
2023-03-11 12:00:00,24.715649987176832,40.51488748724007
2023-03-11 12:05:00,24.719943712782367,40.48668278191676
2023-03-11 12:10:00,24.723998235629427,40.45387259055945
2023-03-11 12:15:00,24.72784494195463,40.41702066068718
2023-03-11 12:20:00,24.731514943274505,40.37667973236578
2023-03-11 12:25:00,24.735038935088614,40.333386780807125
2023-03-11 12:30:00,24.738446978816786,40.287659566642375
2023-03-11 12:35:00,24.741768272188676,40.239991811924696
2023-03-11 12:40:00,24.745030973457276,40.190850665310094
2023-03-11 12:45:00,24.748261995522917,40.14067278621208
2023-03-11 12:50:00,24.751486764440536,40.08986139581195
2023-03-11 12:55:00,24.754729111663455,40.0387838681314
2023-03-11 13:00:00,24.75801099624482,39.987769104018305
2023-03-11 13:05:00,24.76135244229208,39.93710613307368
2023-03-11 13:10:00,24.76477127589579,39.887041661167544
2023-03-11 13:15:00,24.768283024294764,39.83777973036929
2023-03-11 13:20:00,24.771900829416406,39.78948111342601
2023-03-11 13:25:00,24.77563526522247,39.74226128328709
2023-03-11 13:30:00,24.779494313041475,39.69619264755933
2023-03-11 13:35:00,24.7834832349782,39.65130305968738
2023-03-11 13:40:00,24.78760453223581,39.60757792895031
2023-03-11 13:45:00,24.791857951627623,39.564960228681194
2023-03-11 13:50:00,24.796240443685356,39.523353247094754
2023-03-11 13:55:00,24.800746191716286,39.48262061153964
2023-03-11 14:00:00,24.80536660376525,39.442590779647645
2023-03-11 14:05:00,24.81009043111279,39.403057484028416
2023-03-11 14:10:00,24.814903778349212,39.36378379514206
2023-03-11 14:15:00,24.819790257696493,39.32450408531618
2023-03-11 14:20:00,24.82473108578002,39.284928189175695
2023-03-11 14:25:00,24.829705233718293,39.244744212559
2023-03-11 14:30:00,24.834689502855202,39.20362252558555
2023-03-11 14:35:00,24.839658849116088,39.16121917674133
2023-03-11 14:40:00,24.84458639211806,39.1171798902028
2023-03-11 14:45:00,24.84944381180331,39.07114413414143
2023-03-11 14:50:00,24.854201393333426,39.02274884080319
2023-03-11 14:55:00,24.858828348323776,38.97163245812912
2023-03-11 15:00:00,24.863293041810387,38.917439032033194
2023-03-11 15:05:00,24.867563227496582,38.85982154053988
2023-03-11 15:10:00,24.87160628198293,38.79844659262633
2023-03-11 15:15:00,24.875389517987102,38.73299709304493
2023-03-11 15:20:00,24.878880403323212,38.663176357850716
2023-03-11 15:25:00,24.88204679907837,38.588711358139975
2023-03-11 15:30:00,24.884857267264184,38.50935518173295
2023-03-11 15:35:00,24.887281334125014,38.42489092452106
2023-03-11 15:40:00,24.88928968492065,38.33513361740885
2023-03-11 15:45:00,24.89085442976667,38.23993204725148
2023-03-11 15:50:00,24.89194938658454,38.13917244779241
2023-03-11 15:55:00,24.892550215446995,38.032777905657476
2023-03-11 16:00:00,24.89263471927917,37.920711662934565
2023-03-11 16:05:00,24.892182959130015,37.80297688414947
2023-03-11 16:10:00,24.891177517787515,37.67961770847213
2023-03-11 16:15:00,24.889603608604368,37.55071973217806
2023-03-11 16:20:00,24.88744923317225,37.41640938551038
