ds,y,ds,y
2023-03-07 21:05:00,34.59,2023-03-07 21:05:00,34.926993874337924
2023-03-07 21:10:00,34.59,2023-03-07 21:10:00,34.884112976324154
2023-03-07 21:15:00,34.59,2023-03-07 21:15:00,34.83760555725926
2023-03-07 21:20:00,34.59,2023-03-07 21:20:00,34.78716623341324
2023-03-07 21:25:00,34.59,2023-03-07 21:25:00,34.73252981220853
2023-03-07 21:30:00,34.59,2023-03-07 21:30:00,34.673473974367425
2023-03-07 21:35:00,34.59,2023-03-07 21:35:00,34.60982163062966
2023-03-07 21:40:00,34.59,2023-03-07 21:40:00,34.541442931347135
2023-03-07 21:45:00,34.59,2023-03-07 21:45:00,34.46825691154825
2023-03-07 21:50:00,34.59,2023-03-07 21:50:00,34.39023275539349
2023-03-07 21:55:00,34.59,2023-03-07 21:55:00,34.30739066851532
2023-03-07 22:00:00,34.59,2023-03-07 22:00:00,34.219802347444706
2023-03-07 22:05:00,34.59,2023-03-07 22:05:00,34.12759104064807
2023-03-07 22:10:00,34.59,2023-03-07 22:10:00,34.03093119768179
2023-03-07 22:15:00,34.59,2023-03-07 22:15:00,33.930047705436124
2023-03-07 22:20:00,34.59,2023-03-07 22:20:00,33.82521471735976
2023-03-07 22:25:00,34.59,2023-03-07 22:25:00,33.71675407755619
2023-03-07 22:30:00,34.59,2023-03-07 22:30:00,33.60503335387389
2023-03-07 22:35:00,34.59,2023-03-07 22:35:00,33.4904634891904
2023-03-07 22:40:00,34.59,2023-03-07 22:40:00,33.37349608829772
2023-03-07 22:45:00,34.59,2023-03-07 22:45:00,33.25462035781624
2023-03-07 22:50:00,34.59,2023-03-07 22:50:00,33.1343597218624
2023-03-07 22:55:00,34.59,2023-03-07 22:55:00,33.01326813578853
2023-03-07 23:00:00,34.59,2023-03-07 23:00:00,32.89192612461547
2023-03-07 23:05:00,34.59,2023-03-07 23:05:00,32.77093657718369
2023-03-07 23:10:00,34.59,2023-03-07 23:10:00,32.65092032259776
2023-03-07 23:15:00,34.59,2023-03-07 23:15:00,32.53251152543559
2023-03-07 23:20:00,34.59,2023-03-07 23:20:00,32.416352930929335
2023-03-07 23:25:00,34.59,2023-03-07 23:25:00,32.303090998117625
2023-03-07 23:30:00,34.59,2023-03-07 23:30:00,32.19337095525251
2023-03-07 23:35:00,34.59,2023-03-07 23:35:00,32.08783181626926
2023-03-07 23:40:00,34.59,2023-03-07 23:40:00,31.987101395777067
2023-03-07 23:45:00,34.59,2023-03-07 23:45:00,31.89179135994456
2023-03-07 23:50:00,34.59,2023-03-07 23:50:00,31.802492353780387
2023-03-07 23:55:00,34.59,2023-03-07 23:55:00,31.71976923761637
2023-03-08 00:00:00,0.0,2023-03-08 00:00:00,31.64415647632921
2023-03-08 00:05:00,0.0,2023-03-08 00:05:00,31.576153712064233
2023-03-08 00:10:00,26.05,2023-03-08 00:10:00,31.51622155774471
2023-03-08 00:15:00,25.21,2023-03-08 00:15:00,31.464777644916264
2023-03-08 00:20:00,25.21,2023-03-08 00:20:00,31.42219295658196
2023-03-08 00:25:00,26.22,2023-03-08 00:25:00,31.388788476309696
2023-03-08 00:30:00,27.41,2023-03-08 00:30:00,31.364832179578556
2023-03-08 00:35:00,28.57,2023-03-08 00:35:00,31.350536393878304
2023-03-08 00:40:00,29.58,2023-03-08 00:40:00,31.34605554909991
2023-03-08 00:45:00,30.72,2023-03-08 00:45:00,31.35148433848585
2023-03-08 00:50:00,30.72,2023-03-08 00:50:00,31.366856306803857
2023-03-08 00:55:00,31.79,2023-03-08 00:55:00,31.392142878906114
2023-03-08 01:00:00,31.79,2023-03-08 01:00:00,31.427252840335957
2023-03-08 01:05:00,31.79,2023-03-08 01:05:00,31.472032275022528
2023-03-08 01:10:00,31.79,2023-03-08 01:10:00,31.526264966386716
2023-03-08 01:15:00,31.79,2023-03-08 01:15:00,31.589673259813836
2023-03-08 01:20:00,31.79,2023-03-08 01:20:00,31.661919384618713
2023-03-08 01:25:00,31.79,2023-03-08 01:25:00,31.74260722914872
2023-03-08 01:30:00,31.79,2023-03-08 01:30:00,31.831284557851934
2023-03-08 01:35:00,31.79,2023-03-08 01:35:00,31.927445658434493
2023-03-08 01:40:00,31.79,2023-03-08 01:40:00,32.03053440164306
2023-03-08 01:45:00,31.79,2023-03-08 01:45:00,32.13994769432225
2023-03-08 01:50:00,31.79,2023-03-08 01:50:00,32.25503930314547
2023-03-08 01:55:00,31.79,2023-03-08 01:55:00,32.375124023244375
2023-03-08 02:00:00,31.79,2023-03-08 02:00:00,32.49948216409162
2023-03-08 02:05:00,31.79,2023-03-08 02:05:00,32.62736432069171
2023-03-08 02:10:00,31.79,2023-03-08 02:10:00,32.75799639909704
2023-03-08 02:15:00,31.79,2023-03-08 02:15:00,32.89058485968583
2023-03-08 02:20:00,31.79,2023-03-08 02:20:00,33.024322142111416
2023-03-08 02:25:00,31.79,2023-03-08 02:25:00,33.15839223419404
2023-03-08 02:30:00,31.79,2023-03-08 02:30:00,33.29197634336738
2023-03-08 02:35:00,31.79,2023-03-08 02:35:00,33.42425863454473
2023-03-08 02:40:00,31.79,2023-03-08 02:40:00,33.5544319872757
2023-03-08 02:45:00,31.79,2023-03-08 02:45:00,33.68170373677896
2023-03-08 02:50:00,31.79,2023-03-08 02:50:00,33.80530135276561
2023-03-08 02:55:00,31.79,2023-03-08 02:55:00,33.92447801889915
2023-03-08 03:00:00,31.79,2023-03-08 03:00:00,34.03851806868214
2023-03-08 03:05:00,31.79,2023-03-08 03:05:00,34.146742240756275
2023-03-08 03:10:00,31.79,2023-03-08 03:10:00,34.24851271352138
2023-03-08 03:15:00,31.79,2023-03-08 03:15:00,34.343237882420354
2023-03-08 03:20:00,31.79,2023-03-08 03:20:00,34.430376844767004
2023-03-08 03:25:00,31.79,2023-03-08 03:25:00,34.50944355758755
2023-03-08 03:30:00,31.79,2023-03-08 03:30:00,34.580010639166645
2023-03-08 03:35:00,31.79,2023-03-08 03:35:00,34.64171278309335
2023-03-08 03:40:00,31.79,2023-03-08 03:40:00,34.69424976108257
2023-03-08 03:45:00,31.79,2023-03-08 03:45:00,34.737388989825604
2023-03-08 03:50:00,31.79,2023-03-08 03:50:00,34.77096764230174
2023-03-08 03:55:00,31.79,2023-03-08 03:55:00,34.794894286608255
2023-03-08 04:00:00,31.79,2023-03-08 04:00:00,34.80915003841477
2023-03-08 04:05:00,31.79,2023-03-08 04:05:00,34.81378921727036
2023-03-08 04:10:00,31.79,2023-03-08 04:10:00,34.808939499799365
2023-03-08 04:15:00,31.79,2023-03-08 04:15:00,34.794801566856805
2023-03-08 04:20:00,31.79,2023-03-08 04:20:00,34.771648244992335
2023-03-08 04:25:00,31.79,2023-03-08 04:25:00,34.739823146935855
2023-03-08 04:30:00,31.79,2023-03-08 04:30:00,34.69973881773678
2023-03-08 04:35:00,31.79,2023-03-08 04:35:00,34.651874399173
2023-03-08 04:40:00,31.79,2023-03-08 04:40:00,34.59677282603388
2023-03-08 04:45:00,31.79,2023-03-08 04:45:00,34.53503757301651
2023-03-08 04:50:00,31.79,2023-03-08 04:50:00,34.46732897303481
2023-03-08 04:55:00,31.79,2023-03-08 04:55:00,34.39436013224557
2023-03-08 05:00:00,31.79,2023-03-08 05:00:00,34.31689246762429
2023-03-08 05:05:00,31.79,2023-03-08 05:05:00,34.23573089871913
2023-03-08 05:10:00,31.79,2023-03-08 05:10:00,34.15171872537138
2023-03-08 05:15:00,31.79,2023-03-08 05:15:00,34.06573222516978
2023-03-08 05:20:00,31.79,2023-03-08 05:20:00,33.978675010187004
2023-03-08 05:25:00,31.79,2023-03-08 05:25:00,33.891472178064014
2023-03-08 05:30:00,31.79,2023-03-08 05:30:00,33.80506430091025
2023-03-08 05:35:00,31.79,2023-03-08 05:35:00,33.72040129064896
2023-03-08 05:40:00,31.79,2023-03-08 05:40:00,33.638436184551125
2023-03-08 05:45:00,31.79,2023-03-08 05:45:00,33.560118892388275
2023-03-08 05:50:00,31.79,2023-03-08 05:50:00,33.48638995040028
2023-03-08 05:55:00,31.79,2023-03-08 05:55:00,33.418174322348875
2023-03-08 06:00:00,31.79,2023-03-08 06:00:00,33.356375292038315
2023-03-08 06:05:00,31.79,2023-03-08 06:05:00,33.30186848977957
2023-03-08 06:10:00,31.79,2023-03-08 06:10:00,33.25549609163173
2023-03-08 06:15:00,31.79,2023-03-08 06:15:00,33.21806123446604
2023-03-08 06:20:00,31.79,2023-03-08 06:20:00,33.190322681906565
2023-03-08 06:25:00,31.79,2023-03-08 06:25:00,33.1729897805727
2023-03-08 06:30:00,31.79,2023-03-08 06:30:00,33.166717738888444
2023-03-08 06:35:00,31.79,2023-03-08 06:35:00,33.17210326232599
2023-03-08 06:40:00,31.79,2023-03-08 06:40:00,33.1896805734437
2023-03-08 06:45:00,31.79,2023-03-08 06:45:00,33.21991784444998
2023-03-08 06:50:00,31.79,2023-03-08 06:50:00,33.26321406591408
2023-03-08 06:55:00,31.79,2023-03-08 06:55:00,33.31989637264943
2023-03-08 07:00:00,31.79,2023-03-08 07:00:00,33.39021784430326
2023-03-08 07:05:00,31.79,2023-03-08 07:05:00,33.47435579458345
2023-03-08 07:10:00,31.79,2023-03-08 07:10:00,33.572410560773946
2023-03-08 07:15:00,31.79,2023-03-08 07:15:00,33.684404800105405
2023-03-08 07:20:00,31.79,2023-03-08 07:20:00,33.810283296009985
2023-03-08 07:25:00,31.79,2023-03-08 07:25:00,33.949913275905686
2023-03-08 07:30:00,31.79,2023-03-08 07:30:00,34.10308523599605
2023-03-08 07:35:00,31.79,2023-03-08 07:35:00,34.26951426522588
2023-03-08 07:40:00,31.79,2023-03-08 07:40:00,34.4488418594181
2023-03-08 07:45:00,31.79,2023-03-08 07:45:00,34.64063821021611
2023-03-08 07:50:00,31.79,2023-03-08 07:50:00,34.84440495151268
2023-03-08 07:55:00,31.79,2023-03-08 07:55:00,35.0595783449262
2023-03-08 08:00:00,32.89,2023-03-08 08:00:00,35.28553287635205
2023-03-08 08:05:00,33.98,2023-03-08 08:05:00,35.52158524163855
2023-03-08 08:10:00,35.22,2023-03-08 08:10:00,35.76699868936396
2023-03-08 08:15:00,36.53,2023-03-08 08:15:00,36.02098769118934
2023-03-08 08:20:00,35.03,2023-03-08 08:20:00,36.28272290433948
2023-03-08 08:25:00,35.03,2023-03-08 08:25:00,36.55133639240337
2023-03-08 08:30:00,35.03,2023-03-08 08:30:00,36.825927064248155
2023-03-08 08:35:00,35.03,2023-03-08 08:35:00,37.10556629590485
2023-03-08 08:40:00,35.03,2023-03-08 08:40:00,37.38930369251553
2023-03-08 08:45:00,35.03,2023-03-08 08:45:00,37.67617295287314
2023-03-08 08:50:00,36.18,2023-03-08 08:50:00,37.96519778979217
2023-03-08 08:55:00,38.45,2023-03-08 08:55:00,38.25539787181461
2023-03-08 09:00:00,39.72,2023-03-08 09:00:00,38.54579474076215
2023-03-08 09:05:00,39.74,2023-03-08 09:05:00,38.835417663225584
2023-03-08 09:10:00,39.74,2023-03-08 09:10:00,39.12330937940854
2023-03-08 09:15:00,39.74,2023-03-08 09:15:00,39.408531706928486
2023-03-08 09:20:00,39.74,2023-03-08 09:20:00,39.69017096250855
2023-03-08 09:25:00,39.74,2023-03-08 09:25:00,39.96734316579338
2023-03-08 09:30:00,39.74,2023-03-08 09:30:00,40.2391989885538
2023-03-08 09:35:00,39.74,2023-03-08 09:35:00,40.50492841840851
2023-03-08 09:40:00,39.74,2023-03-08 09:40:00,40.763765105452904
2023-03-08 09:45:00,40.77,2023-03-08 09:45:00,41.01499036479945
2023-03-08 09:50:00,43.33,2023-03-08 09:50:00,41.2579368085972
2023-03-08 09:55:00,44.82,2023-03-08 09:55:00,41.491991585521546
2023-03-08 10:00:00,43.74,2023-03-08 10:00:00,41.716599209108416
2023-03-08 10:05:00,43.74,2023-03-08 10:05:00,41.93126395605637
2023-03-08 10:10:00,44.92,2023-03-08 10:10:00,42.13555182446399
