ds,y,ds,y
08/03/2023 4:20,31.79,08/03/2023 4:20,35.05825224
08/03/2023 4:25,31.79,08/03/2023 4:25,35.01829258
08/03/2023 4:30,31.79,08/03/2023 4:30,34.96994333
08/03/2023 4:35,31.79,08/03/2023 4:35,34.91371973
08/03/2023 4:40,31.79,08/03/2023 4:40,34.85020225
08/03/2023 4:45,31.79,08/03/2023 4:45,34.78003314
08/03/2023 4:50,31.79,08/03/2023 4:50,34.70391253
08/03/2023 4:55,31.79,08/03/2023 4:55,34.62259407
08/03/2023 5:00,31.79,08/03/2023 5:00,34.53688023
08/03/2023 5:05,31.79,08/03/2023 5:05,34.44761726
08/03/2023 5:10,31.79,08/03/2023 5:10,34.35568981
08/03/2023 5:15,31.79,08/03/2023 5:15,34.26201523
08/03/2023 5:20,31.79,08/03/2023 5:20,34.16753774
08/03/2023 5:25,31.79,08/03/2023 5:25,34.07322225
08/03/2023 5:30,31.79,08/03/2023 5:30,33.98004816
08/03/2023 5:35,31.79,08/03/2023 5:35,33.88900295
08/03/2023 5:40,31.79,08/03/2023 5:40,33.80107572
08/03/2023 5:45,31.79,08/03/2023 5:45,33.71725075
08/03/2023 5:50,31.79,08/03/2023 5:50,33.63850096
08/03/2023 5:55,31.79,08/03/2023 5:55,33.56578155
08/03/2023 6:00,31.79,08/03/2023 6:00,33.5000237
08/03/2023 6:05,31.79,08/03/2023 6:05,33.44212838
08/03/2023 6:10,31.79,08/03/2023 6:10,33.39296041
08/03/2023 6:15,31.79,08/03/2023 6:15,33.3533427
08/03/2023 6:20,31.79,08/03/2023 6:20,33.3240508
08/03/2023 6:25,31.79,08/03/2023 6:25,33.30580772
08/03/2023 6:30,31.79,08/03/2023 6:30,33.29927913
08/03/2023 6:35,31.79,08/03/2023 6:35,33.30506889
08/03/2023 6:40,31.79,08/03/2023 6:40,33.32371504
08/03/2023 6:45,31.79,08/03/2023 6:45,33.35568619
08/03/2023 6:50,31.79,08/03/2023 6:50,33.40137834
08/03/2023 6:55,31.79,08/03/2023 6:55,33.46111225
08/03/2023 7:00,31.79,08/03/2023 7:00,33.53513123
08/03/2023 7:05,31.79,08/03/2023 7:05,33.62359952
08/03/2023 7:10,31.79,08/03/2023 7:10,33.72660107
08/03/2023 7:15,31.79,08/03/2023 7:15,33.844139
08/03/2023 7:20,31.79,08/03/2023 7:20,33.97613547
08/03/2023 7:25,31.79,08/03/2023 7:25,34.12243212
08/03/2023 7:30,31.79,08/03/2023 7:30,34.28279103
08/03/2023 7:35,31.79,08/03/2023 7:35,34.45689624
08/03/2023 7:40,31.79,08/03/2023 7:40,34.64435569
08/03/2023 7:45,31.79,08/03/2023 7:45,34.84470371
08/03/2023 7:50,31.79,08/03/2023 7:50,35.05740401
08/03/2023 7:55,31.79,08/03/2023 7:55,35.28185301
08/03/2023 8:00,32.89,08/03/2023 8:00,35.5173837
08/03/2023 8:05,33.98,08/03/2023 8:05,35.76326986
08/03/2023 8:10,35.22,08/03/2023 8:10,36.01873065
08/03/2023 8:15,36.53,08/03/2023 8:15,36.28293549
08/03/2023 8:20,35.03,08/03/2023 8:20,36.55500932
08/03/2023 8:25,35.03,08/03/2023 8:25,36.83403804
08/03/2023 8:30,35.03,08/03/2023 8:30,37.11907424
08/03/2023 8:35,35.03,08/03/2023 8:35,37.40914304
08/03/2023 8:40,35.03,08/03/2023 8:40,37.70324814
08/03/2023 8:45,35.03,08/03/2023 8:45,38.00037791
08/03/2023 8:50,36.18,08/03/2023 8:50,38.29951156
08/03/2023 8:55,38.45,08/03/2023 8:55,38.59962534
08/03/2023 9:00,39.72,08/03/2023 9:00,38.89969867
08/03/2023 9:05,39.74,08/03/2023 9:05,39.19872021
08/03/2023 9:10,39.74,08/03/2023 9:10,39.49569382
08/03/2023 9:15,39.74,08/03/2023 9:15,39.78964438
08/03/2023 9:20,39.74,08/03/2023 9:20,40.07962335
08/03/2023 9:25,39.74,08/03/2023 9:25,40.36471422
08/03/2023 9:30,39.74,08/03/2023 9:30,40.64403753
08/03/2023 9:35,39.74,08/03/2023 9:35,40.91675572
08/03/2023 9:40,39.74,08/03/2023 9:40,41.18207759
08/03/2023 9:45,40.77,08/03/2023 9:45,41.4392624
08/03/2023 9:50,43.33,08/03/2023 9:50,41.68762359
08/03/2023 9:55,44.82,08/03/2023 9:55,41.92653208
08/03/2023 10:00,43.74,08/03/2023 10:00,42.15541916
08/03/2023 10:05,43.74,08/03/2023 10:05,42.37377889
08/03/2023 10:10,44.92,08/03/2023 10:10,42.5811701
08/03/2023 10:15,46.18,08/03/2023 10:15,42.77721786
08/03/2023 10:20,48.59,08/03/2023 10:20,42.96161453
08/03/2023 10:25,49.97,08/03/2023 10:25,43.13412027
08/03/2023 10:30,48.55,08/03/2023 10:30,43.29456312
08/03/2023 10:35,48.55,08/03/2023 10:35,43.4428386
08/03/2023 10:40,48.55,08/03/2023 10:40,43.57890882
08/03/2023 10:45,48.55,08/03/2023 10:45,43.70280114
08/03/2023 10:50,48.55,08/03/2023 10:50,43.81460643
08/03/2023 10:55,48.55,08/03/2023 10:55,43.91447686
08/03/2023 11:00,48.55,08/03/2023 11:00,44.0026233
08/03/2023 11:05,48.55,08/03/2023 11:05,44.07931237
08/03/2023 11:10,48.55,08/03/2023 11:10,44.14486308
08/03/2023 11:15,48.55,08/03/2023 11:15,44.19964321
08/03/2023 11:20,48.55,08/03/2023 11:20,44.24406536
08/03/2023 11:25,48.55,08/03/2023 11:25,44.27858276
08/03/2023 11:30,48.55,08/03/2023 11:30,44.3036848
08/03/2023 11:35,48.55,08/03/2023 11:35,44.31989246
08/03/2023 11:40,48.55,08/03/2023 11:40,44.32775353
08/03/2023 11:45,48.55,08/03/2023 11:45,44.3278377
08/03/2023 11:50,48.55,08/03/2023 11:50,44.3207316
08/03/2023 11:55,48.55,08/03/2023 11:55,44.30703382
08/03/2023 12:00,48.55,08/03/2023 12:00,44.28734991
08/03/2023 12:05,48.55,08/03/2023 12:05,44.26228739
08/03/2023 12:10,48.55,08/03/2023 12:10,44.23245087
08/03/2023 12:15,48.55,08/03/2023 12:15,44.1984373
08/03/2023 12:20,48.55,08/03/2023 12:20,44.16083131
08/03/2023 12:25,47.52,08/03/2023 12:25,44.12020083
08/03/2023 12:30,46.49,08/03/2023 12:30,44.07709278
08/03/2023 12:35,46.49,08/03/2023 12:35,44.03202916
08/03/2023 12:40,46.49,08/03/2023 12:40,43.98550332
08/03/2023 12:45,46.49,08/03/2023 12:45,43.93797657
08/03/2023 12:50,46.49,08/03/2023 12:50,43.88987507
08/03/2023 12:55,46.49,08/03/2023 12:55,43.84158714
08/03/2023 13:00,46.49,08/03/2023 13:00,43.79346085
08/03/2023 13:05,46.49,08/03/2023 13:05,43.74580207
08/03/2023 13:10,46.49,08/03/2023 13:10,43.69887285
08/03/2023 13:15,46.49,08/03/2023 13:15,43.65289019
08/03/2023 13:20,46.49,08/03/2023 13:20,43.6080253
08/03/2023 13:25,46.49,08/03/2023 13:25,43.56440317
08/03/2023 13:30,46.49,08/03/2023 13:30,43.52210258
08/03/2023 13:35,46.49,08/03/2023 13:35,43.48115656
08/03/2023 13:40,46.49,08/03/2023 13:40,43.44155315
08/03/2023 13:45,46.49,08/03/2023 13:45,43.40323664
08/03/2023 13:50,46.49,08/03/2023 13:50,43.3661091
08/03/2023 13:55,46.49,08/03/2023 13:55,43.33003231
08/03/2023 14:00,46.49,08/03/2023 14:00,43.29483003
08/03/2023 14:05,46.49,08/03/2023 14:05,43.26029056
08/03/2023 14:10,46.49,08/03/2023 14:10,43.22616958
08/03/2023 14:15,46.49,08/03/2023 14:15,43.19219328
08/03/2023 14:20,46.49,08/03/2023 14:20,43.15806173
08/03/2023 14:25,46.49,08/03/2023 14:25,43.12345242
08/03/2023 14:30,46.49,08/03/2023 14:30,43.08802399
08/03/2023 14:35,46.49,08/03/2023 14:35,43.05142012
08/03/2023 14:40,45.34,08/03/2023 14:40,43.0132735
08/03/2023 14:45,44.11,08/03/2023 14:45,42.97320988
08/03/2023 14:50,44.11,08/03/2023 14:50,42.93085217
08/03/2023 14:55,43.1,08/03/2023 14:55,42.88582452
08/03/2023 15:00,43.52,08/03/2023 15:00,42.83775639
08/03/2023 15:05,43.52,08/03/2023 15:05,42.78628657
08/03/2023 15:10,43.52,08/03/2023 15:10,42.73106701
08/03/2023 15:15,43.52,08/03/2023 15:15,42.67176665
08/03/2023 15:20,43.52,08/03/2023 15:20,42.60807499
08/03/2023 15:25,42.35,08/03/2023 15:25,42.53970549
08/03/2023 15:30,42.35,08/03/2023 15:30,42.46639875
08/03/2023 15:35,42.35,08/03/2023 15:35,42.38792548
08/03/2023 15:40,41.32,08/03/2023 15:40,42.3040891
08/03/2023 15:45,41.32,08/03/2023 15:45,42.21472815
08/03/2023 15:50,41.32,08/03/2023 15:50,42.11971832
08/03/2023 15:55,41.32,08/03/2023 15:55,42.01897419
08/03/2023 16:00,40.02,08/03/2023 16:00,41.91245056
08/03/2023 16:05,40.02,08/03/2023 16:05,41.80014352
08/03/2023 16:10,38.95,08/03/2023 16:10,41.68209103
08/03/2023 16:15,37.93,08/03/2023 16:15,41.55837329
08/03/2023 16:20,37.93,08/03/2023 16:20,41.42911257
08/03/2023 16:25,37.93,08/03/2023 16:25,41.29447279
08/03/2023 16:30,37.93,08/03/2023 16:30,41.15465867
08/03/2023 16:35,37.93,08/03/2023 16:35,41.00991457
08/03/2023 16:40,37.93,08/03/2023 16:40,40.86052289
08/03/2023 16:45,37.93,08/03/2023 16:45,40.70680227
08/03/2023 16:50,37.93,08/03/2023 16:50,40.54910533
08/03/2023 16:55,37.93,08/03/2023 16:55,40.38781618
08/03/2023 17:00,37.93,08/03/2023 17:00,40.22334766
08/03/2023 17:05,39.22,08/03/2023 17:05,40.05613828
08/03/2023 17:10,40.29,08/03/2023 17:10,39.88664895
08/03/2023 17:15,40.29,08/03/2023 17:15,39.71535948
08/03/2023 17:20,41.34,08/03/2023 17:20,39.54276494
08/03/2023 17:25,41.34,08/03/2023 17:25,39.36937184
08/03/2023 17:30,41.34,08/03/2023 17:30,39.1956942
08/03/2023 17:35,41.34,08/03/2023 17:35,39.02224958
08/03/2023 17:40,41.34,08/03/2023 17:40,38.84955499
08/03/2023 17:45,41.34,08/03/2023 17:45,38.67812284
08/03/2023 17:50,41.34,08/03/2023 17:50,38.50845685
08/03/2023 17:55,41.34,08/03/2023 17:55,38.34104813
08/03/2023 18:00,41.34,08/03/2023 18:00,38.1763712
08/03/2023 18:05,41.34,08/03/2023 18:05,38.01488022
08/03/2023 18:10,41.34,08/03/2023 18:10,37.85700535
08/03/2023 18:15,41.34,08/03/2023 18:15,37.70314929
08/03/2023 18:20,41.34,08/03/2023 18:20,37.55368404
08/03/2023 18:25,41.34,08/03/2023 18:25,37.40894787
08/03/2023 18:30,41.34,08/03/2023 18:30,37.26924261
08/03/2023 18:35,41.34,08/03/2023 18:35,37.13483115
08/03/2023 18:40,40.33,08/03/2023 18:40,37.00593534
08/03/2023 18:45,39.08,08/03/2023 18:45,36.88273415
08/03/2023 18:50,37.95,08/03/2023 18:50,36.7653622
08/03/2023 18:55,35.7,08/03/2023 18:55,36.65390865
08/03/2023 19:00,34.55,08/03/2023 19:00,36.54841648
08/03/2023 19:05,32.33,08/03/2023 19:05,36.44888209
08/03/2023 19:10,34.19,08/03/2023 19:10,36.35525534
08/03/2023 19:15,34.19,08/03/2023 19:15,36.26743996
08/03/2023 19:20,34.19,08/03/2023 19:20,36.18529432
08/03/2023 19:25,34.19,08/03/2023 19:25,36.10863257
08/03/2023 19:30,34.19,08/03/2023 19:30,36.03722625
08/03/2023 19:35,34.19,08/03/2023 19:35,35.97080607
08/03/2023 19:40,34.19,08/03/2023 19:40,35.90906426
08/03/2023 19:45,34.19,08/03/2023 19:45,35.85165704
08/03/2023 19:50,34.19,08/03/2023 19:50,35.79820756
08/03/2023 19:55,34.19,08/03/2023 19:55,35.74830905
08/03/2023 20:00,34.19,08/03/2023 20:00,35.70152822
08/03/2023 20:05,34.19,08/03/2023 20:05,35.65740896
08/03/2023 20:10,34.19,08/03/2023 20:10,35.61547621
08/03/2023 20:15,34.19,08/03/2023 20:15,35.57523998
08/03/2023 20:20,34.19,08/03/2023 20:20,35.5361996
08/03/2023 20:25,34.19,08/03/2023 20:25,35.49784799
08/03/2023 20:30,34.19,08/03/2023 20:30,35.4596761
08/03/2023 20:35,34.19,08/03/2023 20:35,35.42117729
08/03/2023 20:40,34.19,08/03/2023 20:40,35.38185182
08/03/2023 20:45,34.19,08/03/2023 20:45,35.34121128
08/03/2023 20:50,34.19,08/03/2023 20:50,35.29878289
08/03/2023 20:55,34.19,08/03/2023 20:55,35.25411383
08/03/2023 21:00,34.19,08/03/2023 21:00,35.2067753
08/03/2023 21:05,34.19,08/03/2023 21:05,35.15636655
08/03/2023 21:10,34.19,08/03/2023 21:10,35.10251858
08/03/2023 21:15,34.19,08/03/2023 21:15,35.0448977
08/03/2023 21:20,34.19,08/03/2023 21:20,34.9832088
08/03/2023 21:25,34.19,08/03/2023 21:25,34.9171983
08/03/2023 21:30,34.19,08/03/2023 21:30,34.84665688
08/03/2023 21:35,34.19,08/03/2023 21:35,34.77142172
08/03/2023 21:40,34.19,08/03/2023 21:40,34.69137856
08/03/2023 21:45,34.19,08/03/2023 21:45,34.60646323
08/03/2023 21:50,34.19,08/03/2023 21:50,34.51666287
08/03/2023 21:55,34.19,08/03/2023 21:55,34.42201674
08/03/2023 22:00,34.19,08/03/2023 22:00,34.32261659
08/03/2023 22:05,34.19,08/03/2023 22:05,34.21860664
08/03/2023 22:10,34.19,08/03/2023 22:10,34.11018309
08/03/2023 22:15,34.19,08/03/2023 22:15,33.99759329
08/03/2023 22:20,34.19,08/03/2023 22:20,33.8811344
08/03/2023 22:25,34.19,08/03/2023 22:25,33.76115171
08/03/2023 22:30,34.19,08/03/2023 22:30,33.63803653
08/03/2023 22:35,34.19,08/03/2023 22:35,33.51222366
08/03/2023 22:40,34.19,08/03/2023 22:40,33.38418861
08/03/2023 22:45,34.19,08/03/2023 22:45,33.25444429
08/03/2023 22:50,34.19,08/03/2023 22:50,33.12353752
08/03/2023 22:55,34.19,08/03/2023 22:55,32.99204519
08/03/2023 23:00,34.19,08/03/2023 23:00,32.86057012
08/03/2023 23:05,34.19,08/03/2023 23:05,32.7297367
08/03/2023 23:10,34.19,08/03/2023 23:10,32.6001863
08/03/2023 23:15,34.19,08/03/2023 23:15,32.47257253
08/03/2023 23:20,34.19,08/03/2023 23:20,32.34755633
08/03/2023 23:25,34.19,08/03/2023 23:25,32.22580095
08/03/2023 23:30,34.19,08/03/2023 23:30,32.10796687
08/03/2023 23:35,34.19,08/03/2023 23:35,31.9947067
08/03/2023 23:40,34.19,08/03/2023 23:40,31.88666004
08/03/2023 23:45,34.19,08/03/2023 23:45,31.78444848
08/03/2023 23:50,34.19,08/03/2023 23:50,31.68867054
08/03/2023 23:55,34.19,08/03/2023 23:55,31.59989692
09/03/2023 0:00,0,09/03/2023 0:00,31.51866572
09/03/2023 0:05,6.37,09/03/2023 0:05,31.44547803
09/03/2023 0:10,23.84,09/03/2023 0:10,31.3807936
09/03/2023 0:15,27.22,09/03/2023 0:15,31.32502692
09/03/2023 0:20,29.7,09/03/2023 0:20,31.27854349
09/03/2023 0:25,31.06,09/03/2023 0:25,31.24165651
09/03/2023 0:30,32.08,09/03/2023 0:30,31.21462382
09/03/2023 0:35,33.33,09/03/2023 0:35,31.19764535
09/03/2023 0:40,34.33,09/03/2023 0:40,31.19086091
09/03/2023 0:45,35.47,09/03/2023 0:45,31.19434837
09/03/2023 0:50,35.34,09/03/2023 0:50,31.20812236
09/03/2023 0:55,35.34,09/03/2023 0:55,31.2321334
09/03/2023 1:00,35.34,09/03/2023 1:00,31.26626743
09/03/2023 1:05,35.34,09/03/2023 1:05,31.31034596
09/03/2023 1:10,35.34,09/03/2023 1:10,31.36412654
09/03/2023 1:15,35.34,09/03/2023 1:15,31.42730377
09/03/2023 1:20,35.34,09/03/2023 1:20,31.49951083
09/03/2023 1:25,35.34,09/03/2023 1:25,31.58032138
09/03/2023 1:30,35.34,09/03/2023 1:30,31.66925202
09/03/2023 1:35,35.34,09/03/2023 1:35,31.76576503
09/03/2023 1:40,35.34,09/03/2023 1:40,31.86927174
09/03/2023 1:45,35.34,09/03/2023 1:45,31.97913611
09/03/2023 1:50,35.34,09/03/2023 1:50,32.0946788
09/03/2023 1:55,35.34,09/03/2023 1:55,32.21518155
09/03/2023 2:00,35.34,09/03/2023 2:00,32.33989188
09/03/2023 2:05,35.34,09/03/2023 2:05,32.46802807
09/03/2023 2:10,35.34,09/03/2023 2:10,32.59878444
09/03/2023 2:15,35.34,09/03/2023 2:15,32.73133674
09/03/2023 2:20,35.34,09/03/2023 2:20,32.86484786
