ds,y,y
08/03/2023 7:10,23.37484741,23.50597026
08/03/2023 7:15,23.37484741,23.51133164
08/03/2023 7:20,23.37484741,23.51732199
08/03/2023 7:25,23.37484741,23.52394522
08/03/2023 7:30,23.37484741,23.53120189
08/03/2023 7:35,23.37484741,23.53908923
08/03/2023 7:40,23.37484741,23.54760108
08/03/2023 7:45,23.37484741,23.55672792
08/03/2023 7:50,23.37484741,23.5664569
08/03/2023 7:55,23.37484741,23.57677187
08/03/2023 8:00,23.37484741,23.58765347
08/03/2023 8:05,23.52519798,23.59907926
08/03/2023 8:10,23.52519798,23.61102379
08/03/2023 8:15,23.52519798,23.62345878
08/03/2023 8:20,23.52519798,23.63635325
08/03/2023 8:25,23.67486,23.64967374
08/03/2023 8:30,23.67486,23.66338448
08/03/2023 8:35,23.67486,23.67744761
08/03/2023 8:40,23.67486,23.69182344
08/03/2023 8:45,23.67486,23.70647064
08/03/2023 8:50,23.82395935,23.72134655
08/03/2023 8:55,23.82395935,23.73640742
08/03/2023 9:00,23.82395935,23.75160866
08/03/2023 9:05,23.82395935,23.76690517
08/03/2023 9:10,23.82395935,23.7822516
08/03/2023 9:15,23.97289658,23.79760261
08/03/2023 9:20,23.97289658,23.81291319
08/03/2023 9:25,23.97289658,23.82813894
08/03/2023 9:30,24.12167549,23.8432363
08/03/2023 9:35,24.12167549,23.85816291
08/03/2023 9:40,24.12167549,23.87287777
08/03/2023 9:45,24.12167549,23.88734157
08/03/2023 9:50,24.12167549,23.90151691
08/03/2023 9:55,24.12167549,23.91536851
08/03/2023 10:00,24.12167549,23.92886342
08/03/2023 10:05,24.12167549,23.94197126
08/03/2023 10:10,24.12167549,23.95466433
08/03/2023 10:15,24.12167549,23.96691782
08/03/2023 10:20,24.27035141,23.9787099
08/03/2023 10:25,24.27035141,23.99002188
08/03/2023 10:30,24.27035141,24.00083825
08/03/2023 10:35,24.27035141,24.01114679
08/03/2023 10:40,24.27035141,24.02093858
08/03/2023 10:45,24.27035141,24.03020805
08/03/2023 10:50,24.27035141,24.03895294
08/03/2023 10:55,24.27035141,24.0471743
08/03/2023 11:00,24.42003822,24.05487641
08/03/2023 11:05,24.42003822,24.06206672
08/03/2023 11:10,24.42003822,24.06875575
08/03/2023 11:15,24.42003822,24.07495695
08/03/2023 11:20,24.42003822,24.08068658
08/03/2023 11:25,24.42003822,24.08596351
08/03/2023 11:30,24.42003822,24.09080909
08/03/2023 11:35,24.42003822,24.09524689
08/03/2023 11:40,24.42003822,24.09930253
08/03/2023 11:45,24.42003822,24.1030034
08/03/2023 11:50,24.27145195,24.10637847
08/03/2023 11:55,24.27145195,24.109458
08/03/2023 12:00,24.27145195,24.11227328
08/03/2023 12:05,24.27145195,24.11485637
08/03/2023 12:10,24.27145195,24.1172398
08/03/2023 12:15,24.27145195,24.11945634
08/03/2023 12:20,24.27145195,24.12153865
08/03/2023 12:25,24.12251282,24.12351906
08/03/2023 12:30,24.12251282,24.12542928
08/03/2023 12:35,24.12251282,24.12730011
08/03/2023 12:40,24.12251282,24.1291612
08/03/2023 12:45,24.12251282,24.13104081
08/03/2023 12:50,24.12251282,24.13296553
08/03/2023 12:55,24.12251282,24.13496008
08/03/2023 13:00,24.27130127,24.1370471
08/03/2023 13:05,24.27130127,24.13924695
08/03/2023 13:10,24.27130127,24.14147559
08/03/2023 13:15,24.27130127,24.14385024
08/03/2023 13:20,24.27130127,24.14638342
08/03/2023 13:25,24.27130127,24.14908479
08/03/2023 13:30,24.27130127,24.15196106
08/03/2023 13:35,24.27130127,24.15501589
08/03/2023 13:40,24.27130127,24.15824988
08/03/2023 13:45,24.27130127,24.16166055
08/03/2023 13:50,24.27130127,24.16524231
08/03/2023 13:55,24.27130127,24.16898651
08/03/2023 14:00,24.27130127,24.1728815
08/03/2023 14:05,24.42118073,24.17691271
08/03/2023 14:10,24.42118073,24.18106272
08/03/2023 14:15,24.42118073,24.18531141
08/03/2023 14:20,24.42118073,24.18963611
08/03/2023 14:25,24.42118073,24.19401173
08/03/2023 14:30,24.42118073,24.19841101
08/03/2023 14:35,24.42118073,24.20280464
08/03/2023 14:40,24.42118073,24.20716155
08/03/2023 14:45,24.42118073,24.2114491
08/03/2023 14:50,24.42118073,24.21563338
08/03/2023 14:55,24.42118073,24.21967942
08/03/2023 15:00,24.42118073,24.22355146
08/03/2023 15:05,24.42118073,24.22721328
08/03/2023 15:10,24.42118073,24.23062844
