ts,org,0.001,0.01
2023-03-11T14:20:00+04:00 Dubai,42.48%,41.51073073,39.44143568
2023-03-11T14:25:00+04:00 Dubai,42.48%,41.47612141,39.40153283
2023-03-11T14:30:00+04:00 Dubai,42.48%,41.44069298,39.36067859
2023-03-11T14:35:00+04:00 Dubai,42.48%,41.40408911,39.31852975
2023-03-11T14:40:00+04:00 Dubai,42.48%,41.36594249,39.27473276
2023-03-11T14:45:00+04:00 Dubai,42.48%,41.32587887,39.22892761
2023-03-11T14:50:00+04:00 Dubai,42.48%,41.28352116,39.18075184
2023-03-11T14:55:00+04:00 Dubai,42.48%,41.23849351,39.12984446
2023-03-11T15:00:00+04:00 Dubai,42.48%,41.19042539,39.07584991
2023-03-11T15:05:00+04:00 Dubai,42.48%,41.13895556,39.0184219
2023-03-11T15:10:00+04:00 Dubai,42.48%,41.083736,38.95722723
2023-03-11T15:15:00+04:00 Dubai,42.48%,41.02443565,38.89194939
2023-03-11T15:20:00+04:00 Dubai,41.32%,40.96074398,38.82229209
2023-03-11T15:25:00+04:00 Dubai,40.16%,40.89237448,38.74798254
2023-03-11T15:30:00+04:00 Dubai,40.44%,40.81906774,38.66877454
2023-03-11T15:35:00+04:00 Dubai,40.44%,40.74059447,38.58445134
2023-03-11T15:40:00+04:00 Dubai,40.44%,40.65675809,38.4948282
2023-03-11T15:45:00+04:00 Dubai,40.44%,40.56739714,38.39975472
2023-03-11T15:50:00+04:00 Dubai,40.44%,40.47238732,38.2991168
2023-03-11T15:55:00+04:00 Dubai,40.44%,40.37164318,38.19283834
2023-03-11T16:00:00+04:00 Dubai,40.44%,40.26511956,38.08088255
2023-03-11T16:05:00+04:00 Dubai,40.44%,40.15281251,37.96325294
2023-03-11T16:10:00+04:00 Dubai,40.44%,40.03476002,37.83999399
2023-03-11T16:15:00+04:00 Dubai,40.44%,39.91104228,37.71119138
2023-03-11T16:20:00+04:00 Dubai,40.44%,39.78178156,37.57697193
2023-03-11T16:25:00+04:00 Dubai,40.44%,39.64714178,37.43750314
2023-03-11T16:30:00+04:00 Dubai,40.44%,39.50732766,37.29299239
2023-03-11T16:35:00+04:00 Dubai,40.44%,39.36258356,37.14368576
2023-03-11T16:40:00+04:00 Dubai,40.44%,39.21319189,36.98986657
2023-03-11T16:45:00+04:00 Dubai,40.44%,39.05947126,36.83185353
2023-03-11T16:50:00+04:00 Dubai,40.44%,38.90177432,36.66999857
2023-03-11T16:55:00+04:00 Dubai,40.44%,38.74048517,36.50468446
2023-03-11T17:00:00+04:00 Dubai,40.44%,38.57601665,36.33632205
2023-03-11T17:05:00+04:00 Dubai,40.44%,38.40880728,36.16534728
2023-03-11T17:10:00+04:00 Dubai,40.44%,38.23931795,35.99221807
2023-03-11T17:15:00+04:00 Dubai,40.44%,38.06802848,35.81741081
2023-03-11T17:20:00+04:00 Dubai,40.44%,37.89543393,35.64141685
2023-03-11T17:25:00+04:00 Dubai,40.44%,37.72204083,35.46473877
2023-03-11T17:30:00+04:00 Dubai,40.44%,37.54836319,35.28788652
2023-03-11T17:35:00+04:00 Dubai,40.44%,37.37491858,35.11137349
2023-03-11T17:40:00+04:00 Dubai,39.39%,37.20222399,34.9357126
2023-03-11T17:45:00+04:00 Dubai,37.27%,37.03079183,34.76141224
2023-03-11T17:50:00+04:00 Dubai,35.18%,36.86112584,34.58897234
2023-03-11T17:55:00+04:00 Dubai,36.20%,36.69371713,34.41888042
2023-03-11T18:00:00+04:00 Dubai,36.20%,36.5290402,34.25160779
2023-03-11T18:05:00+04:00 Dubai,36.20%,36.36754921,34.08760576
2023-03-11T18:10:00+04:00 Dubai,36.20%,36.20967434,33.92730212
2023-03-11T18:15:00+04:00 Dubai,36.20%,36.05581828,33.77109767
2023-03-11T18:20:00+04:00 Dubai,36.20%,35.90635303,33.61936306
2023-03-11T18:25:00+04:00 Dubai,36.20%,35.76161687,33.4724358
2023-03-11T18:30:00+04:00 Dubai,36.20%,35.6219116,33.33061757
2023-03-11T18:35:00+04:00 Dubai,36.20%,35.48750014,33.19417171
2023-03-11T18:40:00+04:00 Dubai,36.20%,35.35860434,33.06332119
2023-03-11T18:45:00+04:00 Dubai,36.20%,35.23540314,32.93824669
2023-03-11T18:50:00+04:00 Dubai,36.20%,35.11803119,32.8190852
2023-03-11T18:55:00+04:00 Dubai,36.20%,35.00657764,32.70592887
2023-03-11T19:00:00+04:00 Dubai,36.20%,34.90108547,32.59882421
2023-03-11T19:05:00+04:00 Dubai,36.20%,34.80155108,32.49777172
