ds,y,ds,y
07/03/2023 21:05,23.52228165,07/03/2023 21:05,23.51785049
07/03/2023 21:10,23.52228165,07/03/2023 21:10,23.51906257
07/03/2023 21:15,23.52228165,07/03/2023 21:15,23.52056747
07/03/2023 21:20,23.52228165,07/03/2023 21:20,23.52233074
07/03/2023 21:25,23.52228165,07/03/2023 21:25,23.52431753
07/03/2023 21:30,23.52228165,07/03/2023 21:30,23.52649281
07/03/2023 21:35,23.52228165,07/03/2023 21:35,23.52882168
07/03/2023 21:40,23.52228165,07/03/2023 21:40,23.53126957
07/03/2023 21:45,23.52228165,07/03/2023 21:45,23.5338025
07/03/2023 21:50,23.52228165,07/03/2023 21:50,23.53638734
07/03/2023 21:55,23.52228165,07/03/2023 21:55,23.53899201
07/03/2023 22:00,23.52228165,07/03/2023 22:00,23.54158569
07/03/2023 22:05,23.52228165,07/03/2023 22:05,23.54413905
07/03/2023 22:10,23.52228165,07/03/2023 22:10,23.54662442
07/03/2023 22:15,23.52228165,07/03/2023 22:15,23.54901594
07/03/2023 22:20,23.52228165,07/03/2023 22:20,23.55128978
07/03/2023 22:25,23.52228165,07/03/2023 22:25,23.55342421
07/03/2023 22:30,23.52228165,07/03/2023 22:30,23.55539973
07/03/2023 22:35,23.52228165,07/03/2023 22:35,23.55719922
07/03/2023 22:40,23.52228165,07/03/2023 22:40,23.55880795
07/03/2023 22:45,23.52228165,07/03/2023 22:45,23.56021368
07/03/2023 22:50,23.52228165,07/03/2023 22:50,23.56140667
07/03/2023 22:55,23.52228165,07/03/2023 22:55,23.56237974
07/03/2023 23:00,23.52228165,07/03/2023 23:00,23.5631282
07/03/2023 23:05,23.52228165,07/03/2023 23:05,23.56364988
07/03/2023 23:10,23.52228165,07/03/2023 23:10,23.56394506
07/03/2023 23:15,23.52228165,07/03/2023 23:15,23.56401639
07/03/2023 23:20,23.52228165,07/03/2023 23:20,23.56386885
07/03/2023 23:25,23.52228165,07/03/2023 23:25,23.56350959
07/03/2023 23:30,23.52228165,07/03/2023 23:30,23.56294784
07/03/2023 23:35,23.52228165,07/03/2023 23:35,23.5621948
07/03/2023 23:40,23.52228165,07/03/2023 23:40,23.56126341
07/03/2023 23:45,23.52228165,07/03/2023 23:45,23.56016828
07/03/2023 23:50,23.52228165,07/03/2023 23:50,23.55892544
07/03/2023 23:55,23.52228165,07/03/2023 23:55,23.55755218
08/03/2023 0:00,23.52228165,08/03/2023 0:00,23.55606688
08/03/2023 0:05,23.52228165,08/03/2023 0:05,23.55448876
08/03/2023 0:10,23.52228165,08/03/2023 0:10,23.55283768
08/03/2023 0:15,23.52228165,08/03/2023 0:15,23.55113398
08/03/2023 0:20,23.52228165,08/03/2023 0:20,23.5493982
08/03/2023 0:25,23.52228165,08/03/2023 0:25,23.5476509
08/03/2023 0:30,23.37351608,08/03/2023 0:30,23.54591245
08/03/2023 0:35,23.37351608,08/03/2023 0:35,23.54420282
08/03/2023 0:40,23.37351608,08/03/2023 0:40,23.54254136
08/03/2023 0:45,23.37351608,08/03/2023 0:45,23.54094663
08/03/2023 0:50,23.37351608,08/03/2023 0:50,23.53943621
08/03/2023 0:55,23.37351608,08/03/2023 0:55,23.53802651
08/03/2023 1:00,23.37351608,08/03/2023 1:00,23.53673262
08/03/2023 1:05,23.37351608,08/03/2023 1:05,23.53556814
08/03/2023 1:10,23.37351608,08/03/2023 1:10,23.5345451
08/03/2023 1:15,23.37351608,08/03/2023 1:15,23.53367376
08/03/2023 1:20,23.37351608,08/03/2023 1:20,23.53296256
08/03/2023 1:25,23.37351608,08/03/2023 1:25,23.53241803
08/03/2023 1:30,23.37351608,08/03/2023 1:30,23.53204471
08/03/2023 1:35,23.37351608,08/03/2023 1:35,23.5318451
08/03/2023 1:40,23.37351608,08/03/2023 1:40,23.53181965
08/03/2023 1:45,23.37351608,08/03/2023 1:45,23.53196672
08/03/2023 1:50,23.37351608,08/03/2023 1:50,23.53228264
08/03/2023 1:55,23.37351608,08/03/2023 1:55,23.53276167
08/03/2023 2:00,23.37351608,08/03/2023 2:00,23.53339612
08/03/2023 2:05,23.37351608,08/03/2023 2:05,23.53417637
08/03/2023 2:10,23.37351608,08/03/2023 2:10,23.53509098
08/03/2023 2:15,23.37351608,08/03/2023 2:15,23.5361268
08/03/2023 2:20,23.37351608,08/03/2023 2:20,23.53726906
08/03/2023 2:25,23.37351608,08/03/2023 2:25,23.53850155
08/03/2023 2:30,23.37351608,08/03/2023 2:30,23.53980673
08/03/2023 2:35,23.37351608,08/03/2023 2:35,23.54116593
