ts,DMC Building 1 Data Quality Tests Dup of AHU_04_B1 Return Air Temp
2023-03-08T05:15:00+04:00 Dubai,23.224395751953125°C
2023-03-08T05:20:00+04:00 Dubai,23.224395751953125°C
2023-03-08T05:25:00+04:00 Dubai,23.224395751953125°C
2023-03-08T05:30:00+04:00 Dubai,23.224395751953125°C
2023-03-08T05:35:00+04:00 Dubai,23.37310028076172°C
2023-03-08T05:40:00+04:00 Dubai,23.37310028076172°C
2023-03-08T05:45:00+04:00 Dubai,23.37310028076172°C
2023-03-08T05:50:00+04:00 Dubai,23.37310028076172°C
2023-03-08T05:55:00+04:00 Dubai,23.523386001586914°C
2023-03-08T06:00:00+04:00 Dubai,23.523386001586914°C
2023-03-08T06:05:00+04:00 Dubai,23.523386001586914°C
2023-03-08T06:10:00+04:00 Dubai,23.523386001586914°C
2023-03-08T06:15:00+04:00 Dubai,23.523386001586914°C
2023-03-08T06:20:00+04:00 Dubai,23.523386001586914°C
2023-03-08T06:25:00+04:00 Dubai,23.523386001586914°C
2023-03-08T06:30:00+04:00 Dubai,23.374847412109375°C
2023-03-08T06:35:00+04:00 Dubai,23.374847412109375°C
2023-03-08T06:40:00+04:00 Dubai,23.374847412109375°C
2023-03-08T06:45:00+04:00 Dubai,23.374847412109375°C
2023-03-08T06:50:00+04:00 Dubai,23.374847412109375°C
2023-03-08T06:55:00+04:00 Dubai,23.374847412109375°C
2023-03-08T07:00:00+04:00 Dubai,23.374847412109375°C
2023-03-08T07:05:00+04:00 Dubai,23.374847412109375°C
2023-03-08T07:10:00+04:00 Dubai,23.374847412109375°C
2023-03-08T07:15:00+04:00 Dubai,23.374847412109375°C
2023-03-08T07:20:00+04:00 Dubai,23.374847412109375°C
2023-03-08T07:25:00+04:00 Dubai,23.374847412109375°C
2023-03-08T07:30:00+04:00 Dubai,23.374847412109375°C
2023-03-08T07:35:00+04:00 Dubai,23.374847412109375°C
2023-03-08T07:40:00+04:00 Dubai,23.374847412109375°C
2023-03-08T07:45:00+04:00 Dubai,23.374847412109375°C
2023-03-08T07:50:00+04:00 Dubai,23.374847412109375°C
2023-03-08T07:55:00+04:00 Dubai,23.374847412109375°C
